,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,66,55,68,51,56,56,60,62,72,65,50,47
Arizona,80,72,90,79,83,67,67,65,72,76,56,54
Arkansas,37,41,51,51,67,49,57,58,61,65,57,46
California,93,87,97,84,90,100,90,93,96,100,82,69
Colorado,66,63,76,76,75,75,68,83,91,99,100,100
Connecticut,64,59,70,58,74,65,73,84,80,86,76,57
Delaware,55,56,100,100,57,76,44,58,84,60,60,57
District of Columbia,87,54,82,67,69,69,56,36,61,68,98,64
Florida,70,57,71,62,69,68,65,62,66,62,50,45
Georgia,60,62,76,85,87,69,59,79,72,73,68,52
Hawaii,100,55,60,81,94,58,59,73,83,76,64,57
Idaho,39,48,35,42,44,22,46,46,48,29,37,27
Illinois,72,59,71,63,64,59,63,62,69,73,64,62
Indiana,75,67,67,62,64,53,51,61,58,73,58,47
Iowa,49,21,53,39,67,49,40,53,60,64,54,42
Kansas,53,75,84,71,60,63,60,77,75,79,65,57
Kentucky,52,45,77,62,51,56,60,60,61,68,63,55
Louisiana,53,38,58,76,57,63,66,63,59,75,54,58
Maine,44,43,72,52,45,22,38,42,32,54,31,28
Maryland,66,58,65,63,62,64,59,60,59,68,53,48
Massachusetts,64,49,60,54,58,46,42,45,44,57,47,35
Michigan,81,68,74,74,78,57,52,50,60,59,52,53
Minnesota,62,51,56,68,62,47,53,60,62,79,82,63
Mississippi,61,28,62,44,54,47,58,49,49,68,56,41
Missouri,82,71,72,83,82,76,77,76,82,93,70,74
Nebraska,86,58,62,62,57,75,53,66,67,73,55,56
Nevada,91,91,90,87,93,87,97,94,97,97,89,86
New Hampshire,61,54,42,25,52,50,34,43,30,31,37,36
New Jersey,74,72,81,64,64,54,55,54,53,66,51,61
New Mexico,53,85,69,47,80,100,100,100,97,84,69,74
New York,71,54,62,51,61,51,47,54,51,56,48,40
North Carolina,56,45,59,59,66,51,50,56,60,61,52,45
Ohio,68,54,59,61,59,61,53,59,61,63,62,66
Oklahoma,83,46,75,57,80,85,70,97,93,89,65,52
Oregon,81,53,50,55,67,72,87,98,100,100,98,93
Pennsylvania,69,58,73,64,58,47,46,51,53,56,48,51
Rhode Island,48,31,48,66,91,57,66,54,55,62,79,44
South Carolina,65,58,59,64,77,62,59,68,68,77,52,53
South Dakota,76,22,42,59,76,43,26,54,65,60,68,32
Tennessee,63,51,65,57,64,61,61,82,74,76,59,63
Texas,75,66,76,70,70,59,55,56,65,71,51,52
Utah,62,59,85,77,90,70,62,67,63,75,54,51
Vermont,76,40,54,39,30,45,35,55,56,52,26,33
Virginia,57,54,55,42,37,52,43,53,52,58,44,44
Washington,93,100,99,96,100,95,84,84,89,89,81,84
West Virginia,40,54,59,54,49,39,43,54,54,46,38,39
Wisconsin,57,54,48,44,71,65,56,65,54,63,61,63
