,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,71,57,68,52,50,53,56,61,67,68,54,45
Arizona,86,75,88,85,69,72,69,68,74,73,55,53
Arkansas,38,38,55,70,73,52,52,58,54,62,55,45
California,100,92,100,92,87,100,91,95,91,99,85,70
Colorado,67,68,75,83,73,71,74,83,87,99,100,100
Connecticut,63,60,67,61,71,63,74,84,81,86,77,58
Delaware,61,72,92,97,50,70,43,60,78,58,62,51
District of Columbia,96,55,79,77,65,73,60,40,54,69,94,60
Florida,74,61,69,66,67,68,62,63,64,63,49,42
Georgia,69,67,76,95,85,70,57,82,71,72,63,52
Hawaii,89,54,62,92,100,60,58,75,76,68,64,56
Idaho,27,61,37,28,40,29,46,51,45,27,36,28
Illinois,80,68,75,68,63,59,62,65,65,70,63,58
Indiana,65,71,60,62,65,55,49,61,59,70,59,45
Iowa,59,28,52,52,59,49,43,54,54,60,53,41
Kansas,78,75,91,75,56,62,56,76,69,78,63,58
Kentucky,52,36,74,64,60,58,59,62,62,66,61,52
Louisiana,64,44,58,79,57,62,63,65,59,71,54,57
Maine,40,54,80,34,46,23,28,44,34,56,39,24
Maryland,63,61,63,69,63,63,57,59,54,67,52,51
Massachusetts,66,50,61,59,54,46,42,43,43,56,46,35
Michigan,80,69,80,78,74,56,48,51,62,61,52,52
Minnesota,66,54,54,74,61,47,53,59,61,76,83,62
Mississippi,73,67,65,45,52,53,59,50,47,67,50,37
Missouri,89,76,72,91,80,77,70,76,78,92,73,74
Nebraska,95,57,77,66,65,76,53,62,64,68,52,56
Nevada,97,97,94,95,97,87,96,93,92,94,87,82
New Hampshire,69,59,44,19,47,45,30,37,35,34,35,29
New Jersey,78,78,82,69,63,57,53,54,52,66,51,56
New Mexico,74,100,81,63,75,85,100,100,89,86,64,70
New York,72,57,61,56,58,52,44,56,50,55,49,37
North Carolina,60,49,62,62,62,55,53,56,61,59,51,45
Ohio,67,57,57,68,56,59,52,59,63,59,60,63
Oklahoma,95,50,76,64,83,86,71,95,87,83,68,53
Oregon,90,58,48,58,61,74,76,98,100,100,99,87
Pennsylvania,71,58,75,68,60,47,47,51,52,56,48,49
Rhode Island,44,58,51,72,81,56,58,55,68,57,72,45
South Carolina,66,58,68,73,76,64,58,73,66,76,52,53
South Dakota,71,32,98,54,69,49,20,56,53,45,62,33
Tennessee,69,57,66,66,64,62,61,79,74,75,58,58
Texas,79,70,76,74,71,60,54,60,61,65,49,52
Utah,70,59,80,81,84,75,59,61,60,77,53,49
Vermont,88,33,44,46,35,60,33,59,35,48,43,34
Virginia,58,61,58,43,34,52,47,52,52,56,43,44
Washington,94,97,97,100,94,99,81,82,85,87,80,85
West Virginia,36,55,63,50,52,41,40,54,70,42,32,44
Wisconsin,51,60,46,50,71,63,56,65,53,61,60,61
