,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,65.0,50.0,70.0,49.0,51,58.0,55.0,56,68,67,49,46
Arizona,77.0,76.0,92.0,79.0,69,70.0,68.0,56,72,72,50,51
Arkansas,42.0,45.0,51.0,51.0,63,51.0,55.0,53,61,62,51,42
California,89.0,90.0,100.0,86.0,84,100.0,87.0,85,94,96,75,70
Colorado,60.0,69.0,80.0,80.0,70,70.0,70.0,72,83,98,100,100
Connecticut,63.0,55.0,71.0,57.0,69,65.0,73.0,77,81,87,68,59
Delaware,68.0,63.0,86.0,73.0,52,80.0,46.0,49,77,63,53,48
District of Columbia,84.0,59.0,77.0,73.0,66,67.0,56.0,37,62,66,83,63
Florida,69.0,59.0,71.0,63.0,68,64.0,60.0,57,64,59,44,41
Georgia,63.0,67.0,74.0,86.0,81,67.0,61.0,70,73,72,62,52
Hawaii,88.0,56.0,64.0,89.0,87,60.0,53.0,76,78,66,55,54
Illinois,69.0,62.0,75.0,61.0,61,61.0,60.0,57,66,71,61,60
Indiana,58.0,69.0,67.0,57.0,59,52.0,53.0,54,60,69,54,46
Iowa,59.0,30.0,47.0,45.0,56,48.0,41.0,47,56,63,49,43
Kansas,54.0,66.0,90.0,72.0,54,56.0,59.0,69,71,78,58,57
Kentucky,49.0,48.0,73.0,60.0,62,56.0,56.0,55,59,65,56,53
Louisiana,53.0,58.0,60.0,71.0,59,61.0,60.0,57,63,73,48,56
Maine,48.0,39.0,61.0,,43,16.0,39.0,32,36,53,31,27
Maryland,72.0,61.0,65.0,64.0,58,61.0,58.0,55,57,66,51,51
Massachusetts,66.0,51.0,63.0,56.0,53,47.0,41.0,40,41,54,43,34
Michigan,75.0,70.0,77.0,73.0,68,54.0,49.0,46,59,58,52,53
Minnesota,60.0,55.0,56.0,69.0,62,46.0,53.0,52,59,78,76,61
Mississippi,66.0,50.0,55.0,49.0,56,52.0,59.0,43,51,65,46,41
Missouri,76.0,75.0,74.0,80.0,77,73.0,69.0,71,80,88,69,76
Nebraska,78.0,62.0,73.0,65.0,66,75.0,51.0,55,67,69,50,54
Nevada,100.0,94.0,79.0,90.0,100,90.0,97.0,85,97,100,81,85
New Hampshire,56.0,60.0,39.0,29.0,44,45.0,37.0,30,31,35,39,31
New Jersey,72.0,75.0,80.0,67.0,62,53.0,54.0,48,51,62,46,57
New Mexico,65.0,72.0,74.0,70.0,65,85.0,100.0,94,95,78,66,72
New York,66.0,55.0,64.0,57.0,55,48.0,45.0,47,47,53,43,40
North Carolina,66.0,49.0,58.0,57.0,60,52.0,49.0,51,60,57,47,45
Ohio,61.0,57.0,58.0,63.0,54,58.0,51.0,51,58,61,58,62
Oklahoma,72.0,53.0,76.0,60.0,74,84.0,73.0,84,80,92,63,53
Oregon,83.0,58.0,54.0,56.0,60,70.0,83.0,87,100,96,89,95
Pennsylvania,69.0,61.0,76.0,63.0,55,46.0,44.0,45,51,57,46,49
South Carolina,60.0,57.0,68.0,54.0,74,58.0,56.0,62,64,74,52,51
Tennessee,46.0,52.0,62.0,57.0,59,60.0,62.0,70,74,71,57,56
Texas,73.0,67.0,76.0,69.0,68,56.0,52.0,53,64,66,48,56
Utah,70.0,54.0,84.0,69.0,76,69.0,59.0,55,57,69,49,48
Virginia,56.0,56.0,59.0,41.0,34,52.0,44.0,47,54,54,42,44
Washington,83.0,100.0,96.0,100.0,90,91.0,80.0,75,92,85,77,82
Wisconsin,52.0,58.0,51.0,45.0,72,62.0,59.0,58,54,62,58,61
Alaska,,65.0,52.0,55.0,65,74.0,85.0,100,77,80,51,43
Idaho,,47.0,35.0,33.0,43,28.0,51.0,43,46,32,33,28
Rhode Island,,53.0,53.0,75.0,82,44.0,60.0,50,60,55,64,48
West Virginia,,65.0,60.0,52.0,26,43.0,36.0,45,51,46,36,38
South Dakota,,,60.0,,68,53.0,22.0,47,54,58,65,31
Montana,,,,57.0,74,42.0,53.0,46,71,44,43,36
Wyoming,,,,87.0,55,,,29,35,64,42,32
North Dakota,,,,,43,57.0,67.0,40,73,43,37,32
Vermont,,,,,45,58.0,27.0,44,46,49,34,32
