,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,62,52,64,45,51,55,51,64,67,69,55,47
Arizona,75,78,90,81,73,68,66,67,71,74,55,52
Arkansas,52,28,66,47,60,53,48,59,60,59,55,42
California,89,91,100,88,85,100,82,100,93,96,82,79
Colorado,60,67,76,85,71,70,62,79,88,99,96,100
Connecticut,59,62,66,63,70,63,67,85,77,88,75,58
Delaware,57,62,90,29,35,76,39,61,74,59,53,51
District of Columbia,78,61,77,69,66,69,50,40,55,71,80,65
Florida,64,59,67,66,71,67,59,65,65,60,48,41
Georgia,58,66,74,91,82,66,54,85,73,73,65,49
Hawaii,100,51,70,77,97,52,51,77,75,78,62,56
Idaho,65,55,20,39,37,26,47,51,50,28,36,27
Illinois,61,64,76,63,61,57,59,66,68,71,62,60
Indiana,55,66,65,59,62,53,46,62,58,72,60,46
Iowa,48,31,48,46,62,50,41,57,56,60,52,41
Kansas,57,72,88,76,55,62,55,80,72,79,63,54
Kentucky,49,44,76,59,57,54,53,62,60,66,61,52
Louisiana,33,43,58,74,58,61,60,69,57,74,50,56
Maine,28,49,72,24,51,20,33,42,22,53,41,26
Maryland,59,61,62,62,60,64,54,59,56,67,52,51
Massachusetts,55,49,62,59,56,45,38,45,44,56,46,35
Michigan,64,71,76,76,71,54,47,53,54,60,53,52
Minnesota,57,56,51,73,60,45,50,60,58,78,80,63
Mississippi,75,46,63,44,42,47,55,49,52,67,50,41
Missouri,75,77,75,84,74,73,68,78,83,93,69,72
Nebraska,68,70,73,73,59,73,51,64,63,66,54,60
Nevada,96,91,90,95,100,84,89,96,98,96,85,83
New Hampshire,56,55,46,15,45,47,34,44,24,33,39,28
New Jersey,66,78,83,69,62,55,50,54,54,65,51,59
New Mexico,44,90,80,62,91,83,100,98,89,85,67,73
New York,62,56,63,55,59,50,41,54,50,52,48,39
North Carolina,48,49,58,63,63,54,47,59,60,60,51,44
Ohio,58,57,58,65,55,57,47,60,61,59,61,63
Oklahoma,70,43,72,61,80,81,71,96,86,88,69,51
Oregon,70,59,49,58,63,72,80,98,100,100,100,88
Pennsylvania,62,60,72,68,56,46,42,52,50,57,47,49
Rhode Island,53,67,59,56,84,59,60,57,56,65,72,47
South Carolina,59,55,69,64,77,60,53,73,67,76,54,52
South Dakota,29,30,40,65,70,47,21,56,59,65,71,32
Tennessee,55,54,66,60,60,62,59,81,74,76,58,57
Texas,68,70,74,73,70,58,50,60,64,66,50,51
Utah,57,59,81,73,83,68,55,66,60,71,51,48
Vermont,69,44,42,43,19,33,34,36,32,46,41,32
Virginia,50,58,56,45,34,51,43,53,52,56,44,41
Washington,84,100,95,100,92,91,80,84,90,87,78,82
West Virginia,36,45,58,33,46,41,36,63,56,45,41,39
Wisconsin,47,56,46,46,70,61,50,64,55,63,61,60
