,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,57,48,65,51,49,56,57,61,63,65,54,45
Arizona,74,75,89,80,74,71,70,66,72,71,58,52
Arkansas,39,39,42,57,63,52,52,58,58,58,56,42
California,86,89,100,84,88,100,85,95,93,100,85,72
Colorado,58,63,72,78,74,72,68,82,87,94,100,100
Connecticut,58,60,70,59,69,67,72,87,79,83,77,57
Delaware,51,67,95,67,37,86,38,58,63,58,57,45
District of Columbia,79,57,78,73,66,73,55,32,56,65,94,63
Florida,63,60,70,62,68,68,63,63,63,59,49,41
Georgia,59,64,77,88,83,69,58,82,71,70,67,51
Hawaii,82,52,70,73,100,63,51,75,72,75,65,58
Idaho,52,56,21,35,18,24,42,47,44,32,40,26
Illinois,65,64,70,63,61,61,63,64,66,68,67,59
Indiana,56,71,68,57,60,55,50,60,57,66,58,45
Iowa,49,28,49,39,59,47,44,53,51,60,53,42
Kansas,71,77,89,67,50,56,58,78,69,74,64,57
Kentucky,44,42,77,59,54,56,62,62,60,63,58,53
Louisiana,49,43,63,71,61,61,64,65,58,68,54,55
Maine,36,53,68,28,48,22,36,38,34,54,35,23
Maryland,60,60,65,61,61,63,60,60,54,66,52,51
Massachusetts,57,48,58,55,56,46,41,45,44,54,47,34
Michigan,66,67,74,78,71,56,50,50,59,56,55,52
Minnesota,56,51,55,68,61,49,52,58,61,74,79,62
Mississippi,51,40,55,49,52,55,57,45,49,64,52,40
Missouri,74,78,75,82,79,75,74,77,79,85,72,71
Nebraska,92,65,71,55,63,80,55,65,63,64,50,53
Nevada,100,100,94,85,90,88,100,96,92,92,94,78
New Hampshire,15,67,43,21,44,51,40,45,31,37,42,31
New Jersey,64,73,82,64,58,56,53,53,55,62,53,58
New Mexico,76,87,75,60,68,90,100,100,91,79,69,70
New York,58,54,61,54,59,52,45,53,48,55,48,38
North Carolina,48,46,56,56,63,55,49,58,59,56,50,45
Ohio,57,56,57,64,56,59,52,58,59,56,64,63
Oklahoma,80,47,74,56,84,86,72,96,85,82,71,53
Oregon,78,53,50,55,64,77,85,95,100,94,99,88
Pennsylvania,56,59,72,63,56,48,46,49,50,51,49,49
Rhode Island,39,39,44,53,83,59,62,51,61,61,76,46
South Carolina,54,56,65,63,71,63,58,70,66,73,55,51
South Dakota,49,30,47,69,72,47,15,59,58,58,64,31
Tennessee,59,53,65,58,62,62,60,78,74,71,60,56
Texas,68,64,75,71,71,57,53,59,61,63,51,61
Utah,60,58,87,73,86,73,60,63,59,72,55,49
Vermont,59,29,52,43,22,42,41,49,45,49,41,32
Virginia,51,57,58,43,34,53,46,52,53,53,44,40
Washington,80,97,95,100,94,99,83,84,93,84,79,81
West Virginia,21,63,58,44,45,50,40,64,56,50,39,36
Wisconsin,57,54,45,45,74,63,56,64,54,59,61,62
