,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,58.0,49.0,70.0,50.0,54.0,56.0,56.0,56.0,65.0,68,54,46.0
Arizona,69.0,76.0,90.0,79.0,74.0,64.0,69.0,59.0,73.0,73,57,53.0
Arkansas,39.0,43.0,51.0,57.0,59.0,53.0,49.0,55.0,59.0,66,56,46.0
California,82.0,89.0,99.0,86.0,92.0,100.0,90.0,86.0,85.0,100,80,72.0
Colorado,55.0,67.0,75.0,81.0,74.0,67.0,68.0,75.0,86.0,99,99,100.0
Connecticut,57.0,55.0,70.0,60.0,74.0,61.0,76.0,78.0,78.0,87,75,59.0
Delaware,46.0,68.0,88.0,81.0,51.0,73.0,47.0,56.0,75.0,48,54,53.0
District of Columbia,73.0,57.0,77.0,79.0,66.0,67.0,55.0,38.0,57.0,69,95,62.0
Florida,62.0,61.0,68.0,65.0,70.0,66.0,65.0,58.0,63.0,62,48,41.0
Georgia,54.0,64.0,75.0,90.0,87.0,66.0,56.0,77.0,69.0,73,66,53.0
Hawaii,91.0,51.0,74.0,79.0,100.0,57.0,57.0,69.0,79.0,72,62,57.0
Idaho,46.0,51.0,16.0,36.0,62.0,27.0,48.0,40.0,49.0,32,33,29.0
Illinois,60.0,63.0,72.0,65.0,64.0,57.0,63.0,58.0,68.0,71,63,63.0
Indiana,50.0,73.0,65.0,62.0,63.0,52.0,51.0,55.0,57.0,67,58,48.0
Iowa,53.0,25.0,54.0,46.0,63.0,49.0,45.0,49.0,55.0,58,54,43.0
Kansas,58.0,74.0,87.0,70.0,58.0,58.0,57.0,70.0,79.0,76,57,54.0
Kentucky,44.0,44.0,76.0,65.0,70.0,53.0,57.0,59.0,60.0,63,59,56.0
Louisiana,47.0,45.0,60.0,69.0,56.0,56.0,65.0,55.0,59.0,73,51,58.0
Maine,97.0,42.0,71.0,18.0,46.0,18.0,43.0,37.0,31.0,48,33,26.0
Maryland,58.0,56.0,66.0,61.0,63.0,60.0,59.0,55.0,55.0,67,52,52.0
Massachusetts,55.0,49.0,61.0,57.0,57.0,43.0,42.0,40.0,45.0,57,45,35.0
Michigan,65.0,72.0,75.0,76.0,77.0,55.0,52.0,46.0,60.0,58,52,53.0
Minnesota,54.0,55.0,55.0,70.0,61.0,46.0,53.0,56.0,58.0,78,83,67.0
Mississippi,67.0,49.0,55.0,45.0,39.0,48.0,59.0,45.0,48.0,66,47,41.0
Missouri,70.0,78.0,77.0,86.0,81.0,71.0,73.0,70.0,78.0,91,70,74.0
Nebraska,76.0,64.0,73.0,72.0,62.0,70.0,55.0,55.0,63.0,68,56,58.0
Nevada,100.0,94.0,91.0,89.0,99.0,83.0,96.0,86.0,92.0,96,89,83.0
New Hampshire,40.0,47.0,45.0,33.0,43.0,39.0,38.0,34.0,28.0,35,41,30.0
New Jersey,63.0,75.0,82.0,66.0,67.0,54.0,53.0,49.0,53.0,65,52,60.0
New Mexico,56.0,92.0,71.0,56.0,73.0,81.0,100.0,100.0,94.0,79,66,71.0
New York,60.0,55.0,61.0,54.0,61.0,48.0,46.0,50.0,49.0,54,48,40.0
North Carolina,47.0,47.0,62.0,62.0,63.0,47.0,50.0,50.0,60.0,59,51,45.0
Ohio,57.0,56.0,60.0,65.0,58.0,58.0,52.0,53.0,60.0,54,61,67.0
Oklahoma,77.0,49.0,75.0,60.0,86.0,77.0,73.0,89.0,87.0,88,68,53.0
Oregon,71.0,58.0,49.0,57.0,64.0,75.0,88.0,91.0,100.0,99,100,93.0
Pennsylvania,59.0,59.0,74.0,66.0,60.0,44.0,46.0,46.0,51.0,56,47,51.0
Rhode Island,40.0,79.0,58.0,65.0,85.0,53.0,56.0,49.0,63.0,60,73,46.0
South Carolina,55.0,65.0,65.0,66.0,75.0,59.0,57.0,63.0,63.0,75,53,51.0
South Dakota,37.0,32.0,69.0,67.0,84.0,38.0,38.0,42.0,54.0,61,71,29.0
Tennessee,55.0,52.0,63.0,59.0,67.0,61.0,64.0,72.0,69.0,76,58,59.0
Texas,68.0,68.0,73.0,76.0,76.0,55.0,53.0,55.0,61.0,66,50,52.0
Utah,52.0,57.0,77.0,76.0,80.0,70.0,60.0,59.0,61.0,71,52,52.0
Vermont,56.0,24.0,58.0,41.0,28.0,61.0,42.0,44.0,65.0,50,40,31.0
Virginia,50.0,59.0,58.0,44.0,38.0,53.0,46.0,48.0,53.0,56,44,44.0
Washington,78.0,100.0,100.0,100.0,98.0,94.0,82.0,77.0,87.0,88,77,84.0
West Virginia,21.0,39.0,67.0,41.0,55.0,44.0,42.0,52.0,53.0,46,42,40.0
Wisconsin,44.0,59.0,47.0,45.0,77.0,58.0,55.0,59.0,57.0,62,62,63.0
Alaska,,,,,,,,,,68,55,
Montana,,,,,,,,,,30,41,
North Dakota,,,,,,,,,,43,36,
Wyoming,,,,,,,,,,64,48,
