,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,69,54,62,56.0,56,55,57,62,66,64,53,47
Arizona,80,77,80,83.0,76,66,70,67,73,70,55,55
Arkansas,41,47,48,60.0,57,49,51,58,59,59,55,46
California,94,90,90,84.0,92,100,92,99,99,100,78,71
Colorado,66,64,67,85.0,73,66,69,85,89,93,96,100
Connecticut,49,61,59,62.0,73,63,71,86,82,82,72,61
Delaware,64,41,100,59.0,48,73,45,60,72,58,44,58
District of Columbia,83,57,61,79.0,71,65,56,38,55,59,87,65
Florida,70,56,64,65.0,72,62,64,63,63,57,48,43
Georgia,65,65,68,91.0,88,65,57,82,72,69,65,56
Hawaii,95,62,63,84.0,100,56,59,77,76,71,61,61
Idaho,49,55,20,33.0,35,27,38,52,44,32,35,32
Illinois,68,63,63,64.0,65,56,63,64,67,68,63,62
Indiana,63,72,59,60.0,66,50,48,63,58,66,56,49
Iowa,53,22,47,50.0,60,46,43,56,55,58,51,42
Kansas,65,71,80,72.0,62,68,56,79,69,72,61,56
Kentucky,50,44,67,66.0,54,53,56,63,64,63,56,53
Louisiana,39,45,53,77.0,58,62,61,67,57,70,49,56
Maine,37,56,81,42.0,56,22,36,38,36,58,33,27
Maryland,61,61,56,62.0,62,59,58,60,55,63,53,52
Massachusetts,64,49,56,56.0,57,44,43,45,44,54,47,35
Michigan,73,68,65,73.0,77,54,52,51,59,55,51,56
Minnesota,64,59,48,69.0,62,46,55,59,60,73,82,64
Mississippi,66,49,54,52.0,55,51,60,51,51,64,50,42
Missouri,82,77,66,81.0,81,72,75,78,82,86,69,75
Nebraska,80,70,75,71.0,69,70,56,63,64,71,51,55
Nevada,100,98,81,88.0,98,79,95,95,96,90,85,84
New Hampshire,61,57,40,,51,49,36,32,37,32,41,32
New Jersey,71,77,74,65.0,66,53,54,54,53,61,51,61
New Mexico,73,89,63,65.0,75,90,100,100,83,78,65,72
New York,67,55,56,55.0,61,49,46,54,51,51,47,39
North Carolina,55,47,53,62.0,67,51,48,56,62,55,51,45
Ohio,63,55,51,65.0,59,55,53,59,61,56,60,68
Oklahoma,91,46,67,60.0,86,79,72,98,88,85,64,54
Oregon,81,60,45,55.0,66,71,85,98,100,94,100,91
Pennsylvania,66,61,64,67.0,60,43,46,51,52,53,46,52
Rhode Island,71,57,38,54.0,83,54,66,51,61,62,77,49
South Carolina,67,55,60,67.0,79,58,55,72,68,72,52,53
South Dakota,41,41,81,55.0,70,44,39,54,54,44,70,30
Tennessee,64,56,53,61.0,61,56,60,78,73,72,57,61
Texas,75,69,68,75.0,73,55,53,60,63,60,49,56
Utah,54,59,77,74.0,86,69,61,65,60,65,56,51
Vermont,63,23,71,19.0,52,53,45,51,31,52,36,35
Virginia,57,59,52,45.0,36,49,46,52,54,53,42,45
Washington,90,100,87,100.0,96,89,81,84,88,82,77,83
West Virginia,55,44,41,49.0,63,40,45,50,50,39,38,38
Wisconsin,51,59,44,42.0,74,57,56,65,56,58,58,64
