,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,48,58.0,66,49,51,54,55,59,64,69,56,48
Arizona,61,80.0,85,80,76,67,69,64,76,73,56,54
Arkansas,30,40.0,51,52,61,50,52,53,61,63,54,45
California,75,89.0,99,84,89,98,90,95,97,100,86,73
Colorado,57,66.0,74,78,74,69,65,81,89,98,100,100
Connecticut,53,70.0,61,60,68,60,70,83,82,88,79,60
Delaware,47,67.0,96,77,51,88,44,52,83,62,62,51
District of Columbia,76,52.0,75,72,68,68,52,36,60,73,97,62
Florida,57,60.0,69,59,68,66,63,62,64,62,49,44
Georgia,55,68.0,74,88,86,67,55,78,70,73,67,52
Hawaii,100,49.0,61,88,100,57,56,73,75,76,61,60
Idaho,42,63.0,25,28,43,27,40,43,40,35,36,29
Illinois,58,63.0,71,62,63,58,63,61,70,73,67,63
Indiana,49,74.0,63,58,62,55,50,59,59,71,59,48
Iowa,42,30.0,46,43,63,53,42,55,56,62,53,44
Kansas,55,75.0,86,70,62,60,60,72,71,79,66,57
Kentucky,47,45.0,73,63,60,55,51,60,61,66,62,54
Louisiana,38,42.0,58,74,59,60,65,66,60,70,50,61
Maine,18,33.0,63,23,61,17,38,47,34,57,38,27
Maryland,55,59.0,62,61,64,63,56,58,56,70,52,52
Massachusetts,51,47.0,60,56,58,46,40,45,45,55,47,36
Michigan,59,68.0,75,76,75,57,49,47,61,59,55,54
Minnesota,53,56.0,54,66,66,46,52,60,60,77,84,65
Mississippi,77,44.0,64,45,40,50,61,48,51,67,51,39
Missouri,67,78.0,74,80,79,77,70,76,84,90,73,74
Nebraska,68,73.0,36,62,66,73,53,60,63,69,52,55
Nevada,77,97.0,91,85,99,85,97,95,95,95,92,85
New Hampshire,42,81.0,65,28,54,46,41,36,33,33,31,33
New Jersey,57,70.0,81,64,65,53,52,52,55,63,53,62
New Mexico,46,62.0,68,68,77,86,100,100,97,85,71,73
New York,57,57.0,62,54,60,50,44,56,50,54,48,39
North Carolina,45,49.0,58,59,64,52,49,55,62,60,50,47
Ohio,54,56.0,57,61,58,59,51,57,63,60,64,66
Oklahoma,70,49.0,73,49,85,85,74,95,86,88,70,54
Oregon,61,57.0,49,55,67,72,81,96,100,100,100,92
Pennsylvania,55,61.0,72,64,57,45,45,49,52,55,49,51
Rhode Island,38,39.0,38,62,84,54,63,48,57,72,73,49
South Carolina,57,59.0,63,66,79,59,58,71,68,77,53,54
South Dakota,42,,78,51,75,40,22,53,56,57,81,33
Tennessee,45,52.0,69,58,65,61,60,76,74,77,60,59
Texas,61,70.0,74,72,73,56,51,59,62,66,51,59
Utah,47,52.0,80,68,86,70,59,62,61,71,55,49
Vermont,42,29.0,56,55,34,45,27,52,56,51,13,34
Virginia,45,59.0,58,43,36,52,44,51,56,57,43,44
Washington,73,100.0,100,100,97,100,81,80,90,88,79,85
West Virginia,21,30.0,55,45,53,38,37,59,51,47,39,37
Wisconsin,42,57.0,47,39,77,58,53,62,55,63,60,63
