,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,71,56.0,62,51,50,60,56,61,65,68,55,46
Arizona,80,66.0,80,79,75,66,67,60,72,74,58,52
Arkansas,50,41.0,48,62,64,51,50,58,57,59,58,44
California,91,84.0,90,83,90,100,87,98,93,97,80,65
Colorado,61,65.0,67,77,73,71,66,85,87,98,100,100
Connecticut,63,57.0,59,59,70,68,72,87,81,86,77,59
Delaware,55,60.0,100,83,44,84,44,59,71,67,58,53
District of Columbia,84,58.0,61,81,66,66,53,38,63,75,97,64
Florida,70,58.0,64,62,69,69,62,63,61,62,51,41
Georgia,60,65.0,68,88,86,68,57,82,77,73,67,52
Hawaii,85,53.0,63,69,97,59,44,77,74,93,64,57
Idaho,10,48.0,20,34,47,26,46,58,46,27,36,28
Illinois,70,63.0,63,62,63,58,62,64,66,73,68,61
Indiana,66,71.0,59,60,61,52,49,63,59,72,60,46
Iowa,56,27.0,47,48,57,47,39,55,54,61,54,43
Kansas,65,91.0,80,68,52,60,56,79,69,75,64,57
Kentucky,51,44.0,67,64,58,55,59,63,61,64,60,54
Louisiana,53,42.0,53,73,60,61,62,67,60,74,54,55
Maine,14,42.0,81,26,40,18,30,31,31,56,36,26
Maryland,64,61.0,56,63,65,63,57,59,54,68,54,51
Massachusetts,60,49.0,56,58,57,46,41,44,44,57,47,35
Michigan,74,68.0,65,73,75,56,50,51,59,58,54,52
Minnesota,62,53.0,48,69,64,46,52,59,60,79,88,60
Mississippi,66,56.0,54,46,53,52,59,50,48,69,46,37
Missouri,83,75.0,66,80,78,75,72,78,79,89,74,72
Nebraska,73,68.0,75,66,62,78,54,63,62,69,59,57
Nevada,100,89.0,81,78,100,86,96,95,91,100,90,80
New Hampshire,46,79.0,40,39,19,55,37,32,30,31,31,30
New Jersey,66,76.0,74,64,63,56,53,54,54,62,52,61
New Mexico,39,86.0,63,70,79,87,100,100,83,84,64,70
New York,66,54.0,56,54,59,52,44,53,50,54,49,39
North Carolina,51,48.0,53,60,64,53,50,56,64,60,53,42
Ohio,64,56.0,51,62,58,58,53,59,60,61,62,62
Oklahoma,82,52.0,67,57,82,82,74,100,85,88,72,58
Oregon,78,59.0,45,53,64,72,81,98,100,100,100,91
Pennsylvania,67,58.0,64,66,57,46,43,51,52,56,49,50
Rhode Island,39,47.0,38,62,86,71,55,54,63,68,82,45
South Carolina,62,61.0,60,68,78,62,58,75,68,79,56,52
South Dakota,42,17.0,81,41,65,43,24,58,53,60,68,32
Tennessee,58,55.0,53,60,62,62,66,78,74,75,60,59
Texas,73,67.0,68,72,71,56,53,60,62,67,51,51
Utah,66,56.0,77,77,85,71,61,64,59,73,56,49
Vermont,89,,71,67,50,41,38,50,42,56,41,33
Virginia,57,59.0,52,44,34,53,45,52,52,56,45,44
Washington,84,100.0,87,100,94,96,80,84,88,88,81,85
West Virginia,24,40.0,41,52,47,42,40,58,50,57,38,38
Wisconsin,45,59.0,44,42,77,61,55,65,54,61,62,59
