,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,66,56.0,64,51,51,55,56,58,62,68,49,44
Arizona,74,66.0,90,79,73,69,69,60,72,74,51,52
Arkansas,57,41.0,66,62,59,47,53,55,62,59,49,45
California,90,84.0,100,85,83,100,86,88,91,97,79,65
Colorado,60,65.0,76,76,70,72,69,73,84,98,92,100
Connecticut,65,57.0,66,58,68,65,74,81,79,86,69,57
Delaware,73,60.0,90,83,42,75,43,60,71,67,54,51
District of Columbia,75,58.0,77,76,65,73,55,31,61,75,100,60
Florida,70,58.0,67,61,69,70,65,62,60,62,46,41
Georgia,62,65.0,74,88,81,69,60,74,76,73,62,52
Hawaii,94,53.0,70,68,95,62,58,71,75,93,58,57
Idaho,55,48.0,20,35,36,24,40,37,46,27,36,27
Illinois,69,63.0,76,62,60,60,62,59,65,73,61,62
Indiana,59,71.0,65,60,61,56,50,57,57,72,55,48
Iowa,44,27.0,48,47,54,50,42,48,53,61,48,44
Kansas,66,91.0,88,68,53,61,60,71,69,75,59,55
Kentucky,48,44.0,76,63,56,59,61,59,58,64,56,51
Louisiana,48,42.0,58,73,57,61,63,60,59,74,49,55
Maine,43,42.0,72,26,50,31,35,45,27,56,32,26
Maryland,70,61.0,62,63,60,64,58,56,55,68,47,51
Massachusetts,60,49.0,62,58,55,47,41,41,43,57,43,34
Michigan,67,68.0,76,76,69,57,50,46,58,58,50,51
Minnesota,59,53.0,51,69,59,48,53,53,58,79,78,63
Mississippi,62,56.0,63,46,42,54,60,45,48,69,44,40
Missouri,76,75.0,75,83,72,77,70,72,77,89,70,73
Nebraska,82,68.0,73,65,57,82,55,61,58,69,47,54
Nevada,100,89.0,90,80,100,85,91,82,92,100,79,82
New Hampshire,68,79.0,46,39,44,53,37,37,41,31,40,31
New Jersey,73,76.0,83,63,60,53,54,49,52,62,49,59
New Mexico,57,86.0,80,70,90,90,100,100,92,84,65,74
New York,66,54.0,63,54,58,51,44,49,49,54,44,40
North Carolina,53,48.0,58,60,62,53,50,52,62,60,47,45
Ohio,60,56.0,58,62,54,56,52,53,58,61,57,64
Oklahoma,76,52.0,72,57,78,85,69,91,82,88,64,52
Oregon,74,59.0,49,52,62,73,83,91,100,100,93,91
Pennsylvania,65,58.0,72,66,55,45,45,47,51,56,44,50
Rhode Island,35,47.0,59,62,82,50,66,49,56,68,61,45
South Carolina,67,61.0,69,68,77,59,57,67,64,79,47,52
South Dakota,35,17.0,40,41,62,48,26,56,54,60,61,40
Tennessee,57,55.0,66,59,59,65,61,72,74,75,52,59
Texas,72,67.0,74,71,69,58,54,55,61,67,47,52
Utah,59,56.0,81,76,82,71,62,61,58,73,51,49
Vermont,62,,42,67,19,31,30,49,46,56,34,32
Virginia,57,59.0,56,43,33,54,44,48,52,56,40,43
Washington,83,100.0,95,100,91,98,81,79,86,88,75,81
West Virginia,44,40.0,58,52,45,39,44,55,48,57,36,40
Wisconsin,47,59.0,46,41,69,62,56,58,54,61,55,59
