,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,54.0,55,62,56,56,55,57,62,66,64,54,49
Arizona,80.0,72,80,79,76,66,70,67,73,70,57,53
Arkansas,30.0,41,48,61,57,49,51,58,59,59,57,46
California,91.0,87,90,87,92,100,92,99,99,100,79,72
Colorado,61.0,63,67,81,73,66,69,85,89,93,100,100
Connecticut,60.0,59,59,60,73,63,71,86,82,82,76,59
Delaware,71.0,56,100,85,48,73,45,60,72,58,57,55
District of Columbia,90.0,54,61,72,71,65,56,38,55,59,96,62
Florida,68.0,57,64,63,72,62,64,63,63,57,50,43
Georgia,63.0,62,68,89,88,65,57,82,72,69,66,55
Hawaii,90.0,55,63,100,100,56,59,77,76,71,63,64
Idaho,41.0,48,20,26,35,27,38,52,44,32,35,31
Illinois,70.0,59,63,64,65,56,63,64,67,68,68,63
Indiana,72.0,67,59,61,66,50,48,63,58,66,59,49
Iowa,39.0,21,47,51,60,46,43,56,55,58,53,42
Kansas,80.0,75,80,72,62,68,56,79,69,72,63,60
Kentucky,49.0,45,67,61,54,53,56,63,64,63,59,56
Louisiana,49.0,38,53,73,58,62,61,67,57,70,54,58
Maine,54.0,43,81,30,56,22,36,38,36,58,35,27
Maryland,67.0,58,56,62,62,59,58,60,55,63,54,53
Massachusetts,59.0,49,56,57,57,44,43,45,44,54,46,34
Michigan,72.0,68,65,76,77,54,52,51,59,55,53,53
Minnesota,61.0,51,48,68,62,46,55,59,60,73,85,63
Mississippi,69.0,28,54,42,55,51,60,51,51,64,45,41
Missouri,80.0,71,66,84,81,72,75,78,82,86,73,76
Nebraska,79.0,58,75,65,69,70,56,63,64,71,59,54
Nevada,100.0,91,81,90,98,79,95,95,96,90,89,84
New Hampshire,39.0,54,40,12,51,49,36,32,37,32,31,29
New Jersey,69.0,72,74,64,66,53,54,54,53,61,51,62
New Mexico,71.0,85,63,64,75,90,100,100,83,78,65,74
New York,67.0,54,56,54,61,49,46,54,51,51,48,40
North Carolina,55.0,45,53,60,67,51,48,56,62,55,53,46
Ohio,59.0,54,51,63,59,55,53,59,61,56,61,67
Oklahoma,80.0,46,67,60,86,79,72,98,88,85,71,55
Oregon,80.0,53,45,55,66,71,85,98,100,94,99,93
Pennsylvania,67.0,58,64,63,60,43,46,51,52,53,49,53
Rhode Island,54.0,31,38,72,83,54,66,51,61,62,80,46
South Carolina,75.0,58,60,68,79,58,55,72,68,72,57,54
Tennessee,61.0,51,53,59,61,56,60,78,73,72,59,60
Texas,74.0,66,68,71,73,55,53,60,63,60,50,54
Utah,53.0,59,77,76,86,69,61,65,60,65,55,51
Vermont,85.0,40,71,24,52,53,45,51,31,52,41,37
Virginia,54.0,54,52,43,36,49,46,52,54,53,44,43
Washington,94.0,100,87,100,96,89,81,84,88,82,80,85
West Virginia,46.0,54,41,50,63,40,45,50,50,39,38,40
Wisconsin,47.0,54,44,45,74,57,56,65,56,58,62,59
South Dakota,,22,81,49,70,44,39,54,54,44,67,34
