,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,69,55,68,56,56,55,55,62,68,64,54,47
Arizona,80,72,90,79,73,66,67,66,68,70,57,55
Arkansas,41,41,51,61,67,49,56,58,58,59,56,46
California,94,87,97,87,90,100,90,93,93,100,82,71
Colorado,66,63,76,81,75,66,67,83,85,93,100,100
Connecticut,49,59,70,60,75,63,72,86,77,82,76,61
Delaware,64,56,100,85,47,73,42,58,80,58,60,58
District of Columbia,83,54,82,72,69,65,55,36,58,59,91,65
Florida,70,57,71,63,69,62,62,62,62,57,50,43
Georgia,65,62,76,89,87,65,57,79,69,69,67,56
Hawaii,95,55,60,100,94,56,58,73,79,71,64,61
Idaho,49,48,35,26,44,27,45,51,43,32,37,32
Illinois,68,59,71,64,64,56,63,62,65,68,65,62
Indiana,63,67,67,61,64,50,50,61,56,66,58,49
Iowa,53,21,53,51,48,46,41,53,57,58,54,42
Kansas,65,75,84,72,61,68,56,77,72,72,65,56
Kentucky,50,45,77,61,51,53,56,60,58,63,59,53
Louisiana,39,38,58,73,57,62,60,63,56,70,54,56
Maine,37,43,72,30,45,22,45,40,31,58,34,27
Maryland,61,58,65,62,60,59,56,60,56,63,54,52
Massachusetts,64,49,60,57,58,44,41,44,43,54,47,35
Michigan,73,68,74,76,78,54,49,50,58,55,52,56
Minnesota,64,51,56,68,62,46,52,58,59,73,82,64
Mississippi,66,28,62,42,56,51,57,50,48,64,55,42
Missouri,82,71,72,84,82,72,74,75,78,86,71,75
Nebraska,80,58,62,65,58,70,55,66,64,71,55,55
Nevada,100,91,90,90,92,79,98,94,89,90,89,84
New Hampshire,61,54,42,12,52,49,34,43,29,32,42,32
New Jersey,71,72,81,64,64,53,51,53,51,61,52,61
New Mexico,73,85,69,64,80,90,100,100,92,78,69,72
New York,67,54,62,54,61,49,44,54,49,51,48,39
North Carolina,55,45,59,60,66,51,50,56,59,55,52,45
Ohio,63,54,59,63,59,55,53,58,59,56,62,68
Oklahoma,91,46,75,60,80,79,71,92,84,85,68,54
Oregon,81,53,50,55,67,71,87,98,100,94,100,91
Pennsylvania,66,58,73,63,58,43,44,51,50,53,48,52
Rhode Island,71,31,48,72,73,54,65,50,53,62,79,49
South Carolina,67,58,59,68,80,58,57,68,65,72,52,53
South Dakota,41,22,42,49,84,44,33,52,61,44,67,30
Tennessee,64,51,65,59,64,56,64,82,71,72,60,61
Texas,75,66,76,71,70,55,53,56,62,60,51,56
Utah,54,59,85,76,90,69,59,67,60,65,54,51
Vermont,63,40,54,24,30,53,29,51,37,52,26,35
Virginia,57,54,55,43,37,49,46,53,50,53,44,45
Washington,90,100,99,100,100,89,81,83,85,82,81,83
West Virginia,55,54,59,50,49,40,42,49,51,39,38,38
Wisconsin,51,54,48,45,71,57,55,65,52,58,60,64
