,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,66,55,68,51,56,55,60,62,72,68,50,47
Arizona,80,72,90,79,83,68,67,65,72,74,56,55
Arkansas,37,41,51,51,67,62,57,58,61,61,57,46
California,93,87,97,84,90,100,90,93,96,100,82,71
Colorado,66,63,76,76,75,70,68,83,91,95,100,100
Connecticut,64,59,70,58,74,63,73,84,80,87,76,61
Delaware,55,56,100,100,57,79,44,58,84,60,60,58
District of Columbia,87,54,82,67,69,66,56,36,61,74,98,65
Florida,70,57,71,62,69,66,65,62,66,61,50,43
Georgia,60,62,76,85,87,66,59,79,72,73,68,56
Hawaii,100,55,60,81,94,56,59,73,83,74,64,61
Idaho,39,48,35,42,44,28,46,46,48,33,37,32
Illinois,72,59,71,63,64,59,63,62,69,70,64,62
Indiana,75,67,67,62,64,52,51,61,58,70,58,49
Iowa,49,21,53,39,67,48,40,53,60,60,54,42
Kansas,53,75,84,71,60,57,60,77,75,74,65,56
Kentucky,52,45,77,62,51,54,60,60,61,66,63,53
Louisiana,53,38,58,76,57,64,66,63,59,71,54,56
Maine,44,43,72,52,45,20,38,42,32,55,31,27
Maryland,66,58,65,63,62,64,59,60,59,70,53,52
Massachusetts,64,49,60,54,58,45,42,45,44,56,47,35
Michigan,81,68,74,74,78,56,52,50,60,59,52,56
Minnesota,62,51,56,68,62,45,53,60,62,83,82,64
Mississippi,61,28,62,44,54,56,58,49,49,66,56,42
Missouri,82,71,72,83,82,74,77,76,82,91,70,75
Nebraska,86,58,62,62,57,70,53,66,67,71,55,55
Nevada,91,91,90,87,93,88,97,94,97,91,89,84
New Hampshire,61,54,42,25,52,50,34,43,30,35,37,32
New Jersey,74,72,81,64,64,53,55,54,53,65,51,61
New Mexico,53,85,69,47,80,82,100,100,97,86,69,72
New York,71,54,62,51,61,49,47,54,51,54,48,39
North Carolina,56,45,59,59,66,52,50,56,60,58,52,45
Ohio,68,54,59,61,59,59,53,59,61,58,62,68
Oklahoma,83,46,75,57,80,75,70,97,93,86,65,54
Oregon,81,53,50,55,67,73,87,98,100,99,98,91
Pennsylvania,69,58,73,64,58,46,46,51,53,55,48,52
Rhode Island,48,31,48,66,91,57,66,54,55,64,79,49
South Carolina,65,58,59,64,77,61,59,68,68,74,52,53
South Dakota,76,22,42,59,76,37,26,54,65,60,68,30
Tennessee,63,51,65,57,64,60,61,82,74,73,59,61
Texas,75,66,76,70,70,58,55,56,65,66,51,56
Utah,62,59,85,77,90,70,62,67,63,67,54,51
Vermont,76,40,54,39,30,60,35,55,56,51,26,35
Virginia,57,54,55,42,37,52,43,53,52,57,44,45
Washington,93,100,99,96,100,94,84,84,89,88,81,83
West Virginia,40,54,59,54,49,35,43,54,54,39,38,38
Wisconsin,57,54,48,44,71,60,56,65,54,61,61,64
