,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,64.0,50,61,54,65,57,56,63,65,70,48,47
Arizona,79.0,77,75,78,78,68,68,65,72,72,53,52
Arkansas,39.0,41,50,55,67,50,51,57,58,58,55,45
California,90.0,90,86,86,90,100,89,96,95,93,82,73
Colorado,63.0,65,64,82,77,70,67,83,87,100,100,100
Connecticut,68.0,62,56,67,73,62,71,85,78,83,74,65
Delaware,87.0,66,100,80,40,72,47,63,74,58,56,57
District of Columbia,84.0,55,62,71,72,67,57,40,55,64,88,64
Florida,67.0,62,59,64,71,66,64,61,63,61,48,44
Georgia,67.0,66,63,92,90,69,58,80,69,74,63,53
Hawaii,48.0,50,60,77,98,54,60,78,89,72,59,59
Idaho,80.0,59,23,42,43,28,42,45,45,30,32,28
Illinois,70.0,67,59,66,65,58,57,63,65,70,65,63
Indiana,67.0,72,50,63,63,54,49,58,58,67,56,46
Iowa,52.0,29,38,49,60,51,45,52,57,61,50,44
Kansas,65.0,73,74,72,61,58,59,76,74,77,58,58
Kentucky,46.0,41,63,63,63,54,59,59,62,65,58,56
Louisiana,50.0,44,48,76,59,59,66,68,57,66,52,57
Maine,38.0,47,62,28,44,23,39,39,33,52,29,28
Maryland,65.0,61,53,65,64,62,59,59,56,66,50,52
Massachusetts,59.0,50,52,59,58,46,42,44,42,54,45,37
Michigan,72.0,69,60,77,75,54,50,48,58,59,52,55
Minnesota,61.0,52,45,67,66,44,54,58,58,76,81,61
Mississippi,67.0,54,47,44,58,55,57,43,45,66,47,39
Missouri,75.0,74,62,83,81,80,74,74,79,90,68,75
Nebraska,76.0,69,54,58,61,66,56,64,62,69,51,55
Nevada,100.0,95,77,89,100,85,97,91,92,95,83,84
New Hampshire,75.0,68,38,24,50,48,37,42,28,29,38,30
New Jersey,70.0,76,68,65,65,55,54,54,53,67,51,61
New Mexico,47.0,89,63,64,86,89,100,100,95,79,69,74
New York,66.0,56,51,54,63,54,46,52,50,54,45,39
North Carolina,51.0,46,47,61,65,52,50,56,61,58,50,44
Ohio,59.0,57,51,65,59,58,52,57,55,58,58,67
Oklahoma,78.0,49,64,64,85,79,72,94,87,86,63,53
Oregon,78.0,59,41,57,67,72,87,92,100,96,94,93
Pennsylvania,65.0,61,61,67,58,45,46,51,54,55,46,51
Rhode Island,47.0,57,40,54,90,50,66,53,56,61,75,50
South Carolina,57.0,60,51,62,77,60,58,70,65,76,52,55
South Dakota,62.0,27,71,47,45,48,24,50,51,50,64,29
Tennessee,58.0,54,55,59,64,60,62,79,72,70,57,60
Texas,71.0,68,63,74,70,57,54,59,61,66,49,53
Utah,60.0,60,66,78,89,72,61,67,60,71,52,51
Vermont,85.0,31,38,45,20,30,32,45,42,46,35,32
Virginia,55.0,61,49,42,37,53,46,50,52,55,40,43
Washington,87.0,100,81,100,99,93,82,82,86,87,76,84
Wisconsin,50.0,56,42,46,75,61,56,65,54,58,59,62
West Virginia,,36,45,56,65,46,40,54,46,39,37,39
