,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,54,58.0,68,48,51,55,51,60,64,67,54,47
Arizona,75,84.0,86,79,73,68,65,65,74,69,55,53
Arkansas,32,41.0,52,54,61,47,48,58,57,57,57,46
California,84,92.0,99,83,89,98,82,97,92,100,86,72
Colorado,54,70.0,73,76,69,71,60,80,88,93,100,100
Connecticut,58,69.0,66,60,66,62,65,81,78,83,79,62
Delaware,33,76.0,99,72,42,92,40,61,79,59,64,52
District of Columbia,73,61.0,79,68,66,71,48,40,55,61,97,62
Florida,63,61.0,73,62,68,68,58,64,63,58,49,42
Georgia,57,69.0,76,83,84,69,54,82,69,67,66,54
Hawaii,90,52.0,61,89,96,60,56,79,73,73,62,56
Idaho,37,49.0,34,34,39,27,38,44,53,26,35,28
Illinois,63,66.0,71,61,62,61,58,62,68,66,67,64
Indiana,55,70.0,67,56,59,54,47,58,55,67,58,49
Iowa,46,30.0,57,43,61,53,39,54,53,59,53,42
Kansas,61,77.0,91,63,57,59,52,75,74,73,64,57
Kentucky,44,46.0,76,63,59,56,54,62,59,64,61,54
Louisiana,42,45.0,56,70,59,60,56,64,59,68,52,57
Maine,17,53.0,65,23,44,22,35,37,30,53,37,27
Maryland,60,63.0,65,61,59,66,52,60,56,66,53,51
Massachusetts,54,49.0,62,55,55,48,40,44,43,52,48,35
Michigan,62,70.0,77,73,73,57,46,49,57,56,55,52
Minnesota,55,57.0,53,68,60,45,49,58,60,72,83,63
Mississippi,53,48.0,66,42,38,57,53,47,50,61,51,40
Missouri,74,80.0,78,82,76,73,66,76,79,87,71,75
Nebraska,79,80.0,70,61,69,75,47,66,66,66,53,56
Nevada,100,94.0,97,90,100,90,89,97,96,92,92,84
New Hampshire,45,60.0,45,31,38,46,32,36,32,30,33,27
New Jersey,66,79.0,81,63,65,56,49,52,53,61,53,60
New Mexico,48,100.0,70,59,74,88,100,100,95,81,67,72
New York,61,58.0,62,51,60,51,41,53,49,51,48,40
North Carolina,51,49.0,62,60,62,51,45,59,59,57,51,46
Ohio,60,59.0,58,60,56,57,46,58,59,56,63,67
Oklahoma,76,53.0,74,49,82,81,67,96,87,82,70,54
Oregon,72,59.0,49,54,59,73,78,95,100,96,100,94
Pennsylvania,61,64.0,74,62,54,45,40,48,51,53,48,52
Rhode Island,40,51.0,44,61,88,55,59,47,61,55,81,47
South Carolina,53,56.0,56,66,77,58,51,70,65,73,53,54
South Dakota,46,,65,51,76,47,24,52,62,57,81,31
Tennessee,54,55.0,66,57,64,60,57,77,73,70,60,61
Texas,67,71.0,77,70,72,57,48,59,62,63,52,56
Utah,53,57.0,85,68,79,71,54,64,63,66,55,48
Vermont,71,,76,36,39,54,35,42,52,48,39,34
Virginia,52,61.0,59,41,34,52,40,51,53,53,44,43
Washington,80,99.0,100,100,95,100,75,81,87,85,79,85
West Virginia,34,68.0,68,38,51,39,36,59,50,44,37,40
Wisconsin,49,58.0,53,41,73,62,52,63,54,58,60,60
