,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,48,58.0,68,52,51,54,55,57,64,69,50,48
Arizona,61,76.0,91,80,75,68,69,65,76,73,57,53
Arkansas,30,40.0,53,52,61,51,50,53,61,63,54,44
California,75,89.0,99,84,89,100,90,95,97,100,89,72
Colorado,57,65.0,74,78,74,70,65,81,89,98,99,100
Connecticut,53,62.0,61,60,69,60,70,83,82,86,76,60
Delaware,47,67.0,86,77,51,77,43,52,81,62,62,50
District of Columbia,76,52.0,75,72,65,69,52,36,60,73,92,62
Florida,57,60.0,69,59,70,67,62,62,64,62,48,44
Georgia,55,65.0,74,88,86,68,55,78,70,73,68,51
Hawaii,100,49.0,68,88,100,57,56,73,75,74,59,59
Idaho,42,63.0,25,28,43,27,40,49,40,35,39,28
Illinois,58,62.0,71,62,63,58,60,62,71,73,64,62
Indiana,49,74.0,63,58,64,53,50,59,60,69,58,47
Iowa,42,30.0,46,43,63,53,42,55,56,63,53,44
Kansas,55,75.0,86,70,62,60,62,72,71,79,65,57
Kentucky,47,45.0,73,59,60,54,51,60,61,66,61,52
Louisiana,41,43.0,58,72,59,60,65,66,60,70,50,61
Maine,41,33.0,80,23,61,17,32,47,34,57,33,27
Maryland,55,59.0,62,61,64,63,56,58,56,68,51,51
Massachusetts,51,47.0,60,56,58,46,40,45,45,57,46,35
Michigan,59,68.0,75,76,75,57,49,47,61,59,55,53
Minnesota,53,56.0,55,68,66,46,52,63,60,78,84,65
Mississippi,77,44.0,64,45,52,50,55,48,51,67,51,41
Missouri,67,71.0,74,80,85,77,70,76,84,90,73,74
Nebraska,68,73.0,36,77,66,72,53,60,63,69,53,55
Nevada,79,97.0,92,85,97,85,96,95,95,95,90,80
New Hampshire,52,81.0,65,28,54,48,41,36,33,36,30,33
New Jersey,57,70.0,81,64,63,54,52,52,54,64,51,61
New Mexico,46,62.0,67,68,67,87,100,100,96,85,70,75
New York,57,56.0,62,54,60,50,44,56,50,54,50,39
North Carolina,45,49.0,58,59,66,52,48,55,62,60,50,47
Ohio,53,57.0,57,65,56,60,52,57,63,60,62,66
Oklahoma,70,49.0,73,60,86,85,74,94,88,89,70,54
Oregon,61,56.0,49,55,67,76,81,96,100,100,100,91
Pennsylvania,55,61.0,72,64,59,45,45,49,52,55,49,50
Rhode Island,38,39.0,38,67,84,55,63,48,57,72,72,48
South Carolina,59,59.0,64,66,79,59,59,70,68,78,54,54
South Dakota,26,,78,31,75,41,22,61,57,57,67,33
Tennessee,45,52.0,69,58,66,65,60,75,74,77,59,59
Texas,60,70.0,74,73,73,57,51,59,62,66,52,56
Utah,44,52.0,80,72,86,70,58,58,61,73,57,51
Vermont,42,30.0,56,55,34,45,26,52,45,54,13,33
Virginia,45,59.0,58,43,36,53,44,51,56,57,43,44
Washington,72,100.0,100,100,96,96,81,81,91,88,81,84
West Virginia,21,30.0,55,45,53,39,37,54,51,44,38,37
Wisconsin,42,57.0,47,39,77,58,53,62,55,62,61,63
