,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,70,59.0,62,52,55.0,52,55,58,63,69,54,45
Arizona,78,75.0,82,83,71.0,65,69,62,69,73,55,53
Arkansas,31,51.0,60,56,61.0,54,51,56,58,60,56,45
California,92,94.0,87,85,87.0,100,94,91,98,100,85,70
Colorado,64,67.0,69,82,70.0,73,68,80,87,96,100,100
Connecticut,61,62.0,64,57,65.0,61,73,81,78,85,77,58
Delaware,66,42.0,83,76,43.0,75,43,59,74,60,62,51
District of Columbia,90,56.0,66,75,66.0,66,55,40,60,66,94,60
Florida,68,61.0,63,64,65.0,64,62,59,62,61,49,41
Georgia,66,67.0,67,87,84.0,66,57,77,70,71,64,52
Hawaii,93,69.0,57,83,100.0,53,56,74,77,70,64,56
Idaho,47,48.0,33,35,44.0,27,42,40,50,31,36,28
Illinois,73,65.0,63,68,61.0,56,61,59,65,69,63,57
Indiana,62,72.0,58,59,58.0,52,47,58,55,70,63,48
Iowa,48,32.0,42,48,60.0,50,38,50,52,59,53,41
Kansas,66,78.0,79,71,60.0,58,54,74,68,78,63,58
Kentucky,51,35.0,68,63,60.0,55,58,57,60,65,59,52
Louisiana,46,45.0,57,74,58.0,58,62,63,57,71,54,57
Maine,80,40.0,100,37,48.0,29,37,37,28,57,39,24
Maryland,59,60.0,55,65,61.0,59,57,57,52,65,52,51
Massachusetts,62,51.0,55,58,56.0,43,40,40,42,55,46,35
Michigan,72,70.0,67,79,72.0,53,50,47,59,57,52,52
Minnesota,61,56.0,51,68,59.0,45,53,56,58,76,83,62
Mississippi,70,52.0,43,41,47.0,52,58,43,48,63,50,40
Missouri,65,78.0,65,83,78.0,71,70,74,82,88,75,74
Nebraska,89,66.0,66,66,62.0,72,55,63,66,70,52,56
Nevada,100,98.0,73,92,100.0,82,96,85,92,97,87,83
New Hampshire,47,60.0,19,23,45.0,50,36,34,29,36,35,29
New Jersey,70,77.0,71,64,62.0,53,53,51,52,64,51,56
New Mexico,63,96.0,68,61,73.0,79,100,100,91,76,64,70
New York,68,58.0,55,54,62.0,48,44,51,49,54,49,37
North Carolina,53,48.0,53,59,61.0,49,50,54,61,58,51,44
Ohio,63,57.0,54,65,56.0,52,52,54,60,54,60,63
Oklahoma,83,50.0,66,59,80.0,79,70,94,85,84,68,53
Oregon,84,61.0,47,56,62.0,70,84,89,100,98,99,87
Pennsylvania,68,61.0,64,65,56.0,43,43,49,51,54,48,49
Rhode Island,37,52.0,20,53,94.0,56,66,53,66,72,72,45
South Carolina,61,61.0,55,66,76.0,58,57,68,64,72,52,53
South Dakota,22,61.0,52,62,64.0,63,19,53,60,56,62,33
Tennessee,71,56.0,56,58,59.0,60,64,74,72,73,58,58
Texas,75,71.0,66,74,69.0,56,53,56,63,64,49,52
Utah,60,57.0,72,81,84.0,70,60,61,56,68,53,49
Vermont,70,,21,31,,59,35,48,51,82,43,34
Virginia,58,59.0,53,43,34.0,51,46,49,50,56,43,44
Washington,87,100.0,86,100,93.0,94,82,79,86,85,80,87
West Virginia,31,45.0,50,28,54.0,41,41,59,51,34,37,45
Wisconsin,48,59.0,39,44,72.0,59,56,60,55,57,60,61
