,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,67.0,53.0,62.0,51.0,57.0,56.0,59.0,56,68,66,50,46
Arizona,87.0,77.0,83.0,81.0,71.0,69.0,67.0,56,73,73,51,52
Arkansas,55.0,41.0,52.0,47.0,63.0,51.0,53.0,53,58,67,51,45
California,94.0,90.0,94.0,84.0,88.0,100.0,88.0,92,95,95,85,72
Colorado,67.0,69.0,74.0,80.0,72.0,69.0,69.0,71,86,95,100,100
Connecticut,62.0,60.0,64.0,57.0,67.0,65.0,72.0,75,80,88,69,59
District of Columbia,85.0,64.0,75.0,74.0,70.0,67.0,52.0,38,57,66,82,61
Florida,71.0,60.0,65.0,62.0,69.0,64.0,61.0,56,63,58,44,41
Georgia,67.0,67.0,70.0,84.0,83.0,66.0,60.0,68,73,72,62,52
Hawaii,89.0,46.0,59.0,80.0,90.0,58.0,55.0,68,78,69,55,56
Idaho,46.0,56.0,30.0,45.0,44.0,30.0,42.0,44,47,34,35,26
Illinois,72.0,63.0,70.0,61.0,63.0,61.0,60.0,56,67,70,60,60
Indiana,58.0,71.0,63.0,59.0,61.0,51.0,52.0,51,60,69,54,48
Iowa,55.0,33.0,53.0,43.0,57.0,45.0,43.0,48,51,62,50,42
Kansas,64.0,70.0,85.0,74.0,61.0,55.0,58.0,67,72,78,54,57
Kentucky,53.0,44.0,69.0,62.0,61.0,53.0,58.0,55,61,64,57,53
Louisiana,56.0,49.0,59.0,71.0,58.0,58.0,59.0,57,61,72,49,59
Maine,48.0,49.0,55.0,39.0,49.0,,37.0,41,32,53,37,32
Maryland,66.0,63.0,59.0,61.0,61.0,63.0,55.0,54,57,66,51,51
Massachusetts,68.0,54.0,58.0,56.0,57.0,46.0,41.0,39,42,54,42,34
Michigan,73.0,73.0,73.0,70.0,72.0,54.0,50.0,46,58,57,51,55
Minnesota,63.0,52.0,51.0,70.0,59.0,46.0,52.0,51,59,77,76,63
Mississippi,61.0,42.0,52.0,51.0,55.0,49.0,58.0,42,49,66,43,41
Missouri,80.0,77.0,70.0,80.0,80.0,70.0,68.0,69,80,87,68,77
Montana,92.0,,,49.0,80.0,48.0,31.0,40,64,41,39,37
Nebraska,89.0,64.0,70.0,72.0,65.0,73.0,54.0,55,65,72,52,55
Nevada,100.0,87.0,77.0,88.0,100.0,89.0,97.0,81,100,100,81,86
New Hampshire,61.0,73.0,50.0,30.0,50.0,50.0,36.0,32,27,37,38,30
New Jersey,78.0,77.0,74.0,65.0,63.0,53.0,52.0,48,52,61,46,58
New Mexico,63.0,75.0,76.0,80.0,62.0,87.0,100.0,97,97,80,66,72
New York,68.0,57.0,59.0,57.0,57.0,48.0,45.0,46,47,53,42,40
North Carolina,60.0,49.0,56.0,58.0,63.0,53.0,49.0,50,60,55,46,46
Ohio,66.0,59.0,55.0,61.0,55.0,57.0,51.0,50,59,59,58,63
Oklahoma,82.0,51.0,72.0,57.0,75.0,88.0,73.0,82,85,89,63,53
Oregon,80.0,60.0,52.0,54.0,62.0,69.0,82.0,85,98,95,89,97
Pennsylvania,71.0,62.0,72.0,61.0,56.0,45.0,44.0,44,51,56,45,50
Rhode Island,65.0,57.0,47.0,66.0,83.0,49.0,60.0,54,61,68,81,49
South Carolina,64.0,59.0,63.0,61.0,77.0,56.0,53.0,63,66,71,50,52
Tennessee,58.0,52.0,61.0,59.0,60.0,59.0,63.0,70,74,71,55,57
Texas,77.0,67.0,71.0,69.0,71.0,55.0,51.0,53,63,66,47,59
Utah,60.0,60.0,75.0,76.0,81.0,70.0,57.0,53,61,66,49,49
Virginia,61.0,60.0,58.0,42.0,36.0,52.0,44.0,47,54,53,42,44
Washington,89.0,100.0,91.0,100.0,93.0,91.0,80.0,73,93,85,75,83
Wisconsin,51.0,58.0,46.0,46.0,73.0,61.0,58.0,56,53,62,56,62
Alaska,,49.0,60.0,57.0,50.0,65.0,88.0,100,81,77,54,38
Delaware,,60.0,82.0,74.0,44.0,60.0,30.0,49,70,66,67,50
West Virginia,,48.0,75.0,56.0,51.0,40.0,40.0,49,54,47,35,41
South Dakota,,,100.0,50.0,,66.0,24.0,48,56,49,54,34
Vermont,,,55.0,,,48.0,30.0,32,51,43,36,33
Wyoming,,,,74.0,,,,36,46,60,34,34
North Dakota,,,,,64.0,57.0,52.0,47,68,36,38,34
