,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,58.0,49,70.0,50,54,56,56,52,65,68,54,46
Alaska,34.0,64,46.0,36,87,60,87,100,97,68,55,43
Arizona,69.0,76,90.0,79,74,64,69,55,73,73,57,53
Arkansas,39.0,43,51.0,57,59,53,49,51,59,66,56,46
California,82.0,89,99.0,86,92,100,90,79,85,100,80,72
Colorado,55.0,67,75.0,81,74,67,68,69,86,99,99,100
Connecticut,57.0,55,70.0,60,74,61,76,72,78,87,75,59
Delaware,46.0,68,88.0,81,51,73,47,51,75,48,54,53
District of Columbia,73.0,57,77.0,79,66,67,55,35,57,69,95,62
Florida,62.0,61,68.0,65,70,66,65,53,63,62,48,41
Georgia,54.0,64,75.0,90,87,66,56,71,69,73,66,53
Hawaii,91.0,51,74.0,79,100,57,57,63,79,72,62,57
Idaho,46.0,51,16.0,36,62,27,48,36,49,32,33,29
Illinois,60.0,63,72.0,65,64,57,63,53,68,71,63,63
Indiana,50.0,73,65.0,62,63,52,51,50,57,67,58,48
Iowa,53.0,25,54.0,46,63,49,45,45,55,58,54,43
Kansas,58.0,74,87.0,70,58,58,57,64,79,76,57,54
Kentucky,44.0,44,76.0,65,70,53,57,54,60,63,59,56
Louisiana,47.0,45,60.0,69,56,56,65,51,59,73,51,58
Maine,97.0,42,71.0,18,46,18,43,34,31,48,33,26
Maryland,58.0,56,66.0,61,63,60,59,51,55,67,52,52
Massachusetts,55.0,49,61.0,57,57,43,42,36,45,57,45,35
Michigan,65.0,72,75.0,76,77,55,52,43,60,58,52,53
Minnesota,54.0,55,55.0,70,61,46,53,51,58,78,83,67
Mississippi,67.0,49,55.0,45,39,48,59,41,48,66,47,41
Missouri,70.0,78,77.0,86,81,71,73,64,78,91,70,74
Montana,63.0,55,37.0,62,70,42,46,33,65,30,41,33
Nebraska,76.0,64,73.0,72,62,70,55,50,63,68,56,58
Nevada,100.0,94,91.0,89,99,83,96,79,92,96,89,83
New Hampshire,40.0,47,45.0,33,43,39,38,31,28,35,41,30
New Jersey,63.0,75,82.0,66,67,54,53,45,53,65,52,60
New Mexico,56.0,92,71.0,56,73,81,100,92,94,79,66,71
New York,60.0,55,61.0,54,61,48,46,45,49,54,48,40
North Carolina,47.0,47,62.0,62,63,47,50,46,60,59,51,45
Ohio,57.0,56,60.0,65,58,58,52,49,60,54,61,67
Oklahoma,77.0,49,75.0,60,86,77,73,81,87,88,68,53
Oregon,71.0,58,49.0,57,64,75,88,84,100,99,100,93
Pennsylvania,59.0,59,74.0,66,60,44,46,42,51,56,47,51
Rhode Island,40.0,79,58.0,65,85,53,56,45,63,60,73,46
South Carolina,55.0,65,65.0,66,75,59,57,58,63,75,53,51
South Dakota,37.0,32,69.0,67,84,38,38,39,54,61,71,29
Tennessee,55.0,52,63.0,59,67,61,64,66,69,76,58,59
Texas,68.0,68,73.0,76,76,55,53,50,61,66,50,52
Utah,52.0,57,77.0,76,80,70,60,54,61,71,52,52
Vermont,56.0,24,58.0,41,28,61,42,41,65,50,40,31
Virginia,50.0,59,58.0,44,38,53,46,44,53,56,44,44
Washington,78.0,100,100.0,100,98,94,82,71,87,88,77,84
West Virginia,21.0,39,67.0,41,55,44,42,48,53,46,42,40
Wisconsin,44.0,59,47.0,45,77,58,55,54,57,62,62,63
Wyoming,73.0,31,48.0,88,67,23,23,51,64,64,48,29
North Dakota,,38,,27,19,73,54,45,73,43,36,35
