,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,66,56.0,64,55,51,55,56,62,67,68,49,47
Arizona,74,66.0,90,83,73,69,69,58,71,73,51,51
Arkansas,57,41.0,66,59,59,47,53,60,60,58,49,42
California,90,84.0,100,86,83,100,86,99,90,100,79,79
Colorado,60,65.0,76,82,70,72,69,81,89,98,92,100
Connecticut,65,57.0,66,62,68,65,74,83,79,87,69,58
Delaware,73,60.0,90,79,42,75,43,59,74,58,54,51
District of Columbia,75,58.0,77,76,65,73,55,40,55,70,100,62
Florida,70,58.0,67,63,69,70,65,62,65,59,46,41
Georgia,62,65.0,74,90,81,69,60,78,73,72,62,49
Hawaii,94,53.0,70,82,95,62,58,79,76,77,58,57
Idaho,55,48.0,20,36,36,24,40,56,47,28,36,27
Illinois,69,63.0,76,65,60,60,62,62,68,70,61,60
Indiana,59,71.0,65,59,61,56,50,59,58,71,55,46
Iowa,44,27.0,48,50,54,50,42,54,56,63,48,41
Kansas,66,91.0,88,79,53,61,60,72,72,75,59,54
Kentucky,48,44.0,76,58,56,59,61,62,60,66,56,52
Louisiana,48,42.0,58,70,57,61,63,66,57,73,49,56
Maine,43,42.0,72,27,50,31,35,32,22,53,32,26
Maryland,70,61.0,62,65,60,64,58,60,56,66,47,51
Massachusetts,60,49.0,62,57,55,47,41,42,44,55,43,35
Michigan,67,68.0,76,76,69,57,50,49,56,59,50,50
Minnesota,59,53.0,51,75,59,48,53,57,58,77,78,63
Mississippi,62,56.0,63,49,42,54,60,47,53,66,44,40
Missouri,76,75.0,75,82,72,77,70,75,80,92,70,74
Nebraska,82,68.0,73,69,57,82,55,64,63,70,47,56
Nevada,100,89.0,90,99,100,85,91,92,93,96,79,83
New Hampshire,68,79.0,46,23,44,53,37,42,24,33,40,30
New Jersey,73,76.0,83,66,60,53,54,52,54,64,49,59
New Mexico,57,86.0,80,64,90,90,100,100,89,84,65,73
New York,66,54.0,63,55,58,51,44,52,50,51,44,39
North Carolina,53,48.0,58,62,62,53,50,54,63,59,47,44
Ohio,60,56.0,58,66,54,56,52,57,60,58,57,64
Oklahoma,76,52.0,72,61,78,85,69,98,87,86,64,51
Oregon,74,59.0,49,56,62,73,83,95,100,99,93,93
Pennsylvania,65,58.0,72,68,55,45,45,49,50,56,44,49
Rhode Island,35,47.0,59,66,82,50,66,52,56,64,61,47
South Carolina,67,61.0,69,68,77,59,57,71,68,76,47,52
South Dakota,35,17.0,40,79,62,48,26,56,59,64,61,31
Tennessee,57,55.0,66,59,59,65,61,75,74,75,52,57
Texas,72,67.0,74,72,69,58,54,57,64,69,47,51
Utah,59,56.0,81,75,82,71,62,64,60,70,51,48
Vermont,62,,42,37,19,31,30,50,33,46,34,32
Virginia,57,59.0,56,44,33,54,44,53,53,56,40,41
Washington,83,100.0,95,100,91,98,81,83,90,86,75,82
West Virginia,44,40.0,58,51,45,39,44,56,57,45,36,39
Wisconsin,47,59.0,46,45,69,62,56,61,55,62,55,60
