,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,69,57,62,56,51,55,57,62,64,64,53,47
Arizona,80,75,80,79,73,66,70,67,73,70,55,53
Arkansas,41,47,48,61,66,49,51,58,59,59,55,44
California,94,89,90,87,92,100,92,99,91,100,78,73
Colorado,66,63,67,81,75,66,69,85,87,93,96,100
Connecticut,49,62,59,60,72,63,71,86,77,82,72,61
Delaware,64,47,100,85,47,73,45,60,68,58,44,47
District of Columbia,83,61,61,72,68,65,56,38,55,59,87,62
Florida,70,60,64,63,70,62,64,63,62,57,48,42
Georgia,65,64,68,89,88,65,57,82,72,69,65,52
Hawaii,95,56,63,100,100,56,59,77,76,71,61,58
Idaho,49,47,20,26,48,27,38,52,43,32,35,29
Illinois,68,63,63,64,64,56,63,64,66,68,63,64
Indiana,63,70,59,61,63,50,48,63,55,66,56,47
Iowa,53,26,47,51,47,46,43,56,54,58,51,43
Kansas,65,69,80,72,58,68,56,79,70,72,61,59
Kentucky,50,38,67,61,59,53,56,63,61,63,56,52
Louisiana,39,49,53,73,61,62,61,67,53,70,49,60
Maine,37,42,81,30,41,22,36,38,29,58,33,27
Maryland,61,60,56,62,64,59,58,60,57,63,53,52
Massachusetts,64,47,56,57,58,44,43,45,43,54,47,35
Michigan,73,69,65,76,76,54,52,51,58,55,51,53
Minnesota,64,53,48,68,66,46,55,59,58,73,82,62
Mississippi,66,57,54,42,54,51,60,51,49,64,50,40
Missouri,82,75,66,84,80,72,75,78,78,86,69,75
Nebraska,80,66,75,65,65,70,56,63,60,71,51,55
Nevada,100,100,81,90,100,79,95,95,93,90,85,85
New Hampshire,61,62,40,12,19,49,36,32,30,32,41,34
New Jersey,71,72,74,64,64,53,54,54,53,61,51,60
New Mexico,73,87,63,64,81,90,100,100,89,78,65,79
New York,67,55,56,54,61,49,46,54,49,51,47,40
North Carolina,55,51,53,60,66,51,48,56,59,55,51,46
Ohio,63,56,51,63,60,55,53,59,59,56,60,65
Oklahoma,91,51,67,60,84,79,72,98,85,85,64,54
Oregon,81,57,45,55,66,71,85,98,100,94,100,92
Pennsylvania,66,60,64,63,58,43,46,51,51,53,46,53
Rhode Island,71,57,38,72,74,54,66,51,63,62,77,42
South Carolina,67,53,60,68,81,58,55,72,64,72,52,53
South Dakota,41,23,81,49,84,44,39,54,54,44,70,33
Tennessee,64,57,53,59,63,56,60,78,73,72,57,58
Texas,75,64,68,71,73,55,53,60,61,60,49,51
Utah,54,56,77,76,87,69,61,65,60,65,56,50
Vermont,63,17,71,24,51,53,45,51,38,52,36,34
Virginia,57,57,52,43,35,49,46,52,50,53,42,43
Washington,90,98,87,100,96,89,81,84,86,82,77,84
West Virginia,55,40,41,50,48,40,45,50,55,39,38,40
Wisconsin,51,58,44,45,78,57,56,65,52,58,58,63
