,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,71,52,64,51,50,46,55,58,66,68,51,45
Arizona,80,78,90,79,76,63,68,60,75,74,53,52
Arkansas,50,28,66,62,64,46,50,55,61,59,54,44
California,91,91,100,83,90,100,85,88,91,97,77,65
Colorado,61,67,76,77,74,63,66,73,91,98,94,100
Connecticut,63,62,66,59,71,58,71,81,79,86,71,59
Delaware,55,62,90,83,44,81,40,60,71,67,44,53
District of Columbia,85,61,77,81,66,61,52,31,57,75,100,64
Florida,70,60,67,62,69,61,62,62,64,62,48,41
Georgia,60,68,74,88,83,60,56,74,74,73,64,52
Hawaii,85,50,70,69,97,52,43,71,78,93,60,57
Idaho,10,55,20,34,47,17,45,37,47,27,34,28
Illinois,70,64,76,62,63,52,62,59,68,73,63,61
Indiana,66,67,65,60,61,48,48,57,57,72,57,46
Iowa,56,30,48,48,57,43,38,48,56,61,50,43
Kansas,65,72,88,68,52,54,56,71,72,75,60,57
Kentucky,51,48,76,64,58,49,59,59,63,64,56,54
Louisiana,53,43,58,73,60,55,62,60,54,74,48,55
Maine,14,51,72,26,40,20,29,45,30,56,34,26
Maryland,64,62,62,63,65,56,56,56,57,68,49,51
Massachusetts,60,49,62,58,57,42,41,41,44,57,47,34
Michigan,74,71,76,73,75,50,50,46,60,58,52,52
Minnesota,62,55,51,69,64,41,52,53,59,79,80,60
Mississippi,66,46,63,46,43,47,58,45,53,69,49,37
Missouri,83,78,75,80,78,65,71,72,81,89,68,72
Nebraska,73,73,73,66,62,66,53,61,62,69,50,57
Nevada,100,91,90,78,100,75,94,82,96,100,84,80
New Hampshire,46,55,46,39,19,43,36,37,31,31,42,30
New Jersey,68,76,83,64,62,49,53,49,55,62,50,61
New Mexico,39,90,80,70,94,75,100,100,92,84,63,70
New York,66,56,63,54,59,45,44,49,50,54,46,39
North Carolina,51,49,58,60,64,46,50,52,63,60,50,42
Ohio,64,57,58,62,57,52,50,53,61,61,59,62
Oklahoma,82,43,72,57,81,75,73,91,89,88,65,58
Oregon,78,59,49,53,64,67,83,91,100,100,98,91
Pennsylvania,67,60,72,66,57,40,44,47,53,56,45,50
Rhode Island,39,67,59,62,86,56,54,49,65,68,75,45
South Carolina,62,55,69,68,78,52,57,67,67,79,49,51
South Dakota,42,20,40,41,65,38,24,56,55,60,67,33
Tennessee,58,54,66,60,62,55,65,72,74,75,56,58
Texas,73,70,74,72,71,49,53,55,63,67,49,48
Utah,66,59,81,77,88,64,60,61,62,73,55,49
Vermont,89,44,42,67,50,48,37,49,32,56,36,33
Virginia,57,60,56,44,34,46,45,48,52,56,41,41
Washington,84,100,95,100,94,85,83,79,90,88,77,85
West Virginia,24,45,58,52,47,43,40,55,57,57,38,38
Wisconsin,45,58,46,42,77,56,55,58,55,61,58,62
