,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,58.0,54.0,66.0,51.0,49.0,58,56.0,55,61,67,49,47
Arizona,78.0,80.0,86.0,80.0,68.0,70,66.0,57,71,73,52,52
Arkansas,47.0,45.0,49.0,55.0,60.0,55,52.0,51,60,64,48,43
California,85.0,90.0,93.0,83.0,85.0,100,86.0,91,94,94,79,72
Colorado,58.0,70.0,76.0,84.0,70.0,70,69.0,72,84,96,100,100
Connecticut,63.0,62.0,66.0,59.0,71.0,67,75.0,78,80,90,69,56
District of Columbia,85.0,60.0,76.0,75.0,64.0,70,57.0,31,58,65,86,64
Florida,65.0,61.0,65.0,62.0,67.0,66,60.0,57,62,59,44,42
Georgia,58.0,66.0,70.0,85.0,80.0,69,60.0,70,71,73,62,52
Hawaii,65.0,57.0,57.0,92.0,85.0,64,53.0,69,76,69,54,55
Illinois,66.0,62.0,69.0,61.0,61.0,64,61.0,57,64,72,61,60
Indiana,54.0,77.0,59.0,57.0,58.0,54,51.0,54,60,70,55,48
Iowa,47.0,35.0,51.0,43.0,55.0,46,41.0,47,51,64,49,42
Kansas,61.0,66.0,84.0,68.0,55.0,57,56.0,69,73,77,58,58
Kentucky,46.0,44.0,68.0,61.0,64.0,53,55.0,55,59,64,57,53
Louisiana,47.0,49.0,56.0,72.0,53.0,65,60.0,57,60,72,49,58
Maine,44.0,51.0,73.0,30.0,44.0,25,42.0,35,31,56,38,28
Maryland,58.0,60.0,60.0,62.0,59.0,64,59.0,55,56,65,50,52
Massachusetts,61.0,51.0,56.0,55.0,53.0,47,41.0,40,41,55,44,34
Michigan,70.0,70.0,74.0,71.0,68.0,56,50.0,47,57,57,51,55
Minnesota,56.0,55.0,54.0,68.0,60.0,48,52.0,51,57,77,78,63
Mississippi,67.0,53.0,55.0,48.0,43.0,52,58.0,48,49,65,45,42
Missouri,72.0,78.0,70.0,80.0,76.0,75,69.0,70,79,89,69,77
Nebraska,68.0,70.0,65.0,70.0,56.0,75,51.0,55,66,73,51,53
Nevada,100.0,99.0,78.0,85.0,100.0,94,94.0,82,96,100,82,89
New Hampshire,34.0,54.0,37.0,28.0,52.0,48,38.0,31,35,34,43,30
New Jersey,65.0,77.0,74.0,66.0,60.0,56,52.0,48,50,61,46,58
New Mexico,53.0,88.0,67.0,70.0,68.0,83,100.0,94,94,81,64,73
New York,62.0,56.0,59.0,57.0,55.0,49,45.0,47,46,53,43,40
North Carolina,53.0,50.0,56.0,57.0,59.0,55,49.0,51,59,56,48,46
Ohio,58.0,58.0,55.0,62.0,53.0,60,52.0,52,58,60,58,64
Oklahoma,77.0,53.0,72.0,53.0,73.0,87,74.0,84,83,91,62,52
Oregon,75.0,58.0,50.0,54.0,60.0,75,82.0,88,100,97,88,97
Pennsylvania,67.0,59.0,70.0,62.0,55.0,48,44.0,45,50,58,46,50
Rhode Island,60.0,51.0,47.0,63.0,82.0,55,60.0,50,63,64,66,50
South Carolina,64.0,62.0,66.0,61.0,73.0,60,54.0,64,64,73,51,52
Tennessee,52.0,53.0,62.0,57.0,58.0,63,62.0,70,72,70,53,57
Texas,69.0,68.0,71.0,69.0,68.0,57,52.0,54,63,67,47,54
Utah,63.0,57.0,69.0,69.0,89.0,70,55.0,56,59,69,50,49
Virginia,53.0,59.0,55.0,41.0,35.0,54,44.0,48,54,55,42,45
Washington,84.0,100.0,91.0,100.0,91.0,95,80.0,76,90,84,76,83
Wisconsin,45.0,60.0,46.0,45.0,69.0,65,59.0,58,53,64,58,63
Alaska,,48.0,56.0,52.0,49.0,68,92.0,100,77,71,54,41
Delaware,,57.0,100.0,87.0,43.0,86,43.0,62,75,64,56,51
Idaho,,48.0,28.0,37.0,40.0,25,47.0,48,45,33,32,29
West Virginia,,53.0,47.0,40.0,45.0,47,40.0,48,52,46,35,40
South Dakota,,,66.0,75.0,63.0,49,32.0,56,48,61,65,37
Vermont,,,,53.0,37.0,49,32.0,50,51,52,32,29
Montana,,,,,72.0,48,38.0,37,58,44,38,37
North Dakota,,,,,69.0,56,44.0,38,72,48,36,34
Wyoming,,,,,,60,,38,38,52,38,30
