,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,66,55.0,68,51,54,55,60,62,68,64,50,46
Arizona,80,78.0,90,79,83,68,67,65,72,71,56,52
Arkansas,37,53.0,51,51,66,62,57,58,59,61,57,44
California,93,92.0,97,84,90,100,90,93,93,100,82,64
Colorado,66,72.0,76,76,75,70,68,83,87,97,100,100
Connecticut,64,64.0,70,58,74,63,73,84,85,87,76,59
Delaware,55,63.0,100,100,57,79,44,58,74,60,60,56
District of Columbia,87,58.0,82,67,68,66,56,36,63,76,98,65
Florida,70,61.0,71,62,70,66,65,62,61,61,50,42
Georgia,60,67.0,76,85,88,66,59,79,71,72,68,51
Hawaii,100,62.0,60,81,90,56,59,73,79,72,64,55
Idaho,39,62.0,35,42,45,28,46,46,45,33,37,31
Illinois,72,67.0,71,63,69,59,63,62,67,70,64,63
Indiana,75,68.0,67,62,62,52,51,61,58,70,58,46
Iowa,49,31.0,53,39,65,48,40,53,52,60,54,40
Kansas,53,83.0,84,71,60,57,60,77,71,75,65,56
Kentucky,52,45.0,77,62,52,54,60,60,60,65,63,52
Louisiana,53,48.0,58,76,56,64,66,63,59,69,54,57
Maine,44,64.0,72,52,47,20,38,42,29,54,31,26
Maryland,66,64.0,65,63,62,64,59,60,55,67,53,51
Massachusetts,64,51.0,60,54,57,45,42,45,43,56,47,35
Michigan,81,71.0,74,74,78,56,52,50,62,59,52,52
Minnesota,62,54.0,56,68,65,45,53,60,60,77,82,63
Mississippi,61,48.0,62,44,54,56,58,49,48,67,56,40
Missouri,82,79.0,72,83,82,74,77,76,77,88,70,72
Nebraska,86,73.0,62,62,57,70,53,66,63,71,55,56
Nevada,91,93.0,90,87,93,88,97,94,92,96,89,84
New Hampshire,61,61.0,42,25,50,50,34,43,30,35,37,30
New Jersey,74,70.0,81,64,64,53,55,54,52,65,51,59
New Mexico,53,83.0,69,47,80,82,100,100,94,83,69,75
New York,71,57.0,62,51,61,49,47,54,51,54,48,39
North Carolina,56,48.0,59,59,66,52,50,56,61,58,52,45
Ohio,68,58.0,59,61,59,59,53,59,62,56,62,65
Oklahoma,83,57.0,75,57,80,75,70,97,86,86,65,53
Oregon,81,52.0,50,55,67,73,87,98,100,97,98,90
Pennsylvania,69,61.0,73,64,59,46,46,51,51,56,48,48
Rhode Island,48,55.0,48,66,92,57,66,54,61,66,79,48
South Carolina,65,64.0,59,64,77,61,59,68,64,74,52,51
South Dakota,76,,42,59,76,37,26,54,48,61,68,32
Tennessee,63,54.0,65,57,63,60,61,82,74,73,59,57
Texas,75,68.0,76,70,75,58,55,56,63,64,51,58
Utah,62,61.0,85,77,90,70,62,67,58,68,54,50
Vermont,76,,54,39,31,60,35,55,31,53,26,38
Virginia,57,62.0,55,42,36,52,43,53,51,54,44,43
Washington,93,100.0,99,96,100,94,84,84,88,87,81,85
West Virginia,40,66.0,59,54,50,35,43,54,48,40,38,37
Wisconsin,57,59.0,48,44,73,60,56,65,52,61,61,61
