,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,58,49,70,50,54,56,56,56,65,68,54,46
Arizona,69,76,90,79,74,64,69,59,73,73,57,53
Arkansas,39,43,51,57,59,53,49,55,59,66,56,46
California,82,89,99,86,92,100,90,86,85,100,80,72
Colorado,55,67,75,81,74,67,68,75,86,99,99,100
Connecticut,57,55,70,60,74,61,76,78,78,87,75,59
Delaware,46,68,88,81,51,73,47,56,75,48,54,53
District of Columbia,73,57,77,79,66,67,55,38,57,69,95,62
Florida,62,61,68,65,70,66,65,58,63,62,48,41
Georgia,54,64,75,90,87,66,56,77,69,73,66,53
Hawaii,91,51,74,79,100,57,57,69,79,72,62,57
Idaho,46,51,16,36,62,27,48,40,49,32,33,29
Illinois,60,63,72,65,64,57,63,58,68,71,63,63
Indiana,50,73,65,62,63,52,51,55,57,67,58,48
Iowa,53,25,54,46,63,49,45,49,55,58,54,43
Kansas,58,74,87,70,58,58,57,70,79,76,57,54
Kentucky,44,44,76,65,70,53,57,59,60,63,59,56
Louisiana,47,45,60,69,56,56,65,55,59,73,51,58
Maine,97,42,71,18,46,18,43,37,31,48,33,26
Maryland,58,56,66,61,63,60,59,55,55,67,52,52
Massachusetts,55,49,61,57,57,43,42,40,45,57,45,35
Michigan,65,72,75,76,77,55,52,46,60,58,52,53
Minnesota,54,55,55,70,61,46,53,56,58,78,83,67
Mississippi,67,49,55,45,39,48,59,45,48,66,47,41
Missouri,70,78,77,86,81,71,73,70,78,91,70,74
Nebraska,76,64,73,72,62,70,55,55,63,68,56,58
Nevada,100,94,91,89,99,83,96,86,92,96,89,83
New Hampshire,40,47,45,33,43,39,38,34,28,35,41,30
New Jersey,63,75,82,66,67,54,53,49,53,65,52,60
New Mexico,56,92,71,56,73,81,100,100,94,79,66,71
New York,60,55,61,54,61,48,46,50,49,54,48,40
North Carolina,47,47,62,62,63,47,50,50,60,59,51,45
Ohio,57,56,60,65,58,58,52,53,60,54,61,67
Oklahoma,77,49,75,60,86,77,73,89,87,88,68,53
Oregon,71,58,49,57,64,75,88,91,100,99,100,93
Pennsylvania,59,59,74,66,60,44,46,46,51,56,47,51
Rhode Island,40,79,58,65,85,53,56,49,63,60,73,46
South Carolina,55,65,65,66,75,59,57,63,63,75,53,51
South Dakota,37,32,69,67,84,38,38,42,54,61,71,29
Tennessee,55,52,63,59,67,61,64,72,69,76,58,59
Texas,68,68,73,76,76,55,53,55,61,66,50,52
Utah,52,57,77,76,80,70,60,59,61,71,52,52
Vermont,56,24,58,41,28,61,42,44,65,50,40,31
Virginia,50,59,58,44,38,53,46,48,53,56,44,44
Washington,78,100,100,100,98,94,82,77,87,88,77,84
West Virginia,21,39,67,41,55,44,42,52,53,46,42,40
Wisconsin,44,59,47,45,77,58,55,59,57,62,62,63
