,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,48,58.0,68,49,51,54,55,59,64,69,50,48
Arizona,61,76.0,91,80,75,68,69,65,76,73,57,54
Arkansas,30,40.0,53,52,61,51,50,53,61,63,54,45
California,75,89.0,99,84,89,100,90,95,97,100,85,73
Colorado,57,66.0,74,78,74,70,65,81,89,98,99,100
Connecticut,53,70.0,61,60,69,60,70,83,82,86,76,60
Delaware,47,67.0,96,77,51,77,43,52,83,62,62,51
District of Columbia,76,52.0,75,72,68,69,52,36,60,73,92,62
Florida,57,60.0,69,59,68,67,62,62,64,62,48,44
Georgia,55,65.0,74,88,86,68,55,78,70,73,68,52
Hawaii,100,49.0,68,88,100,58,56,73,75,76,59,60
Idaho,42,63.0,25,28,43,27,40,49,40,35,36,29
Illinois,58,63.0,71,62,63,59,63,62,70,73,64,63
Indiana,49,74.0,63,58,62,53,50,59,59,68,58,48
Iowa,42,30.0,46,43,63,54,42,55,56,62,53,44
Kansas,55,75.0,86,70,62,60,60,72,71,79,65,57
Kentucky,47,45.0,73,62,60,54,51,60,61,66,61,54
Louisiana,38,43.0,58,74,59,61,65,66,60,70,50,61
Maine,18,33.0,80,23,61,18,38,47,34,57,33,27
Maryland,55,59.0,62,61,64,64,56,58,56,70,51,52
Massachusetts,51,47.0,60,56,58,46,40,45,45,57,46,36
Michigan,59,68.0,75,76,75,57,49,47,61,59,54,54
Minnesota,53,56.0,54,66,66,47,52,63,60,77,84,66
Mississippi,77,44.0,64,45,52,51,55,48,53,67,51,42
Missouri,67,71.0,74,80,79,78,70,76,84,90,73,74
Nebraska,68,73.0,36,62,66,72,53,60,63,69,53,55
Nevada,77,97.0,91,85,99,86,97,95,95,95,93,81
New Hampshire,52,81.0,65,28,54,47,41,36,33,36,30,33
New Jersey,57,70.0,81,64,63,54,52,52,55,64,51,62
New Mexico,46,62.0,68,68,67,87,100,100,97,85,70,75
New York,57,57.0,62,54,60,50,44,56,50,54,50,39
North Carolina,45,49.0,58,59,66,52,49,55,62,60,50,47
Ohio,54,57.0,57,65,56,60,52,57,63,60,62,66
Oklahoma,70,49.0,73,49,86,86,74,94,88,88,70,55
Oregon,61,57.0,49,55,67,76,81,96,100,100,100,92
Pennsylvania,55,61.0,72,64,57,45,45,49,52,55,49,51
Rhode Island,38,39.0,38,65,84,55,63,48,57,72,72,49
South Carolina,59,59.0,64,66,79,60,59,70,68,77,54,54
South Dakota,42,,78,51,75,41,22,61,56,57,81,33
Tennessee,45,52.0,69,58,65,62,60,76,74,77,59,59
Texas,60,70.0,74,72,73,57,51,59,62,66,52,57
Utah,44,52.0,80,68,86,71,58,62,61,71,55,49
Vermont,42,29.0,56,55,34,45,27,52,45,51,13,34
Virginia,45,59.0,58,43,36,53,44,51,56,57,43,44
Washington,72,100.0,100,100,97,96,81,81,90,88,81,85
West Virginia,21,30.0,55,45,53,39,37,54,51,47,38,37
Wisconsin,42,57.0,47,39,77,58,53,62,55,62,61,63
