,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,57,48.0,65,54,65,55,57,61,63,65,53,45
Arizona,76,75.0,89,79,78,67,70,66,72,71,56,52
Arkansas,39,40.0,42,55,67,50,52,58,58,58,59,42
California,86,89.0,100,86,89,100,85,95,100,100,88,72
Colorado,56,63.0,72,82,77,69,68,82,88,94,100,100
Connecticut,58,60.0,70,67,73,63,72,87,79,83,75,57
Delaware,51,67.0,95,80,40,79,38,56,63,58,61,45
District of Columbia,79,57.0,78,76,72,66,55,32,56,65,90,63
Florida,64,61.0,70,64,71,65,63,63,63,59,50,41
Georgia,59,64.0,77,92,90,67,58,82,71,70,67,51
Hawaii,87,51.0,70,77,98,46,51,75,72,75,72,58
Idaho,33,56.0,9,41,43,32,42,45,50,32,29,26
Illinois,65,63.0,72,66,65,57,63,64,66,68,67,59
Indiana,55,73.0,66,62,66,53,48,60,57,66,58,44
Iowa,50,28.0,49,49,60,49,44,53,52,60,52,42
Kansas,71,77.0,89,72,61,57,58,78,69,75,64,57
Kentucky,44,43.0,77,63,63,55,60,62,60,61,64,53
Louisiana,49,43.0,63,76,59,59,64,65,58,68,49,55
Maine,36,52.0,71,28,52,19,36,38,34,54,34,23
Maryland,60,59.0,65,65,64,61,60,60,55,66,53,51
Massachusetts,53,48.0,58,59,58,45,41,45,44,54,47,34
Michigan,66,67.0,76,77,75,54,50,50,59,56,54,52
Minnesota,54,53.0,55,67,63,44,52,58,62,74,84,62
Mississippi,51,53.0,55,44,58,52,57,45,49,64,53,38
Missouri,74,73.0,77,82,81,72,74,77,80,85,72,71
Nebraska,92,63.0,71,58,61,74,55,65,63,64,53,53
Nevada,100,100.0,94,89,100,82,100,96,93,92,89,78
New Hampshire,15,67.0,45,24,50,48,40,45,31,37,38,31
New Jersey,64,74.0,79,66,65,53,53,53,55,62,56,58
New Mexico,53,87.0,75,64,86,83,100,100,91,79,70,70
New York,58,54.0,61,54,63,50,45,53,48,55,48,38
North Carolina,48,46.0,56,61,65,51,49,58,59,56,53,43
Ohio,57,56.0,57,65,59,56,52,58,59,56,64,63
Oklahoma,80,47.0,74,64,85,80,72,96,85,82,71,53
Oregon,75,53.0,50,57,64,71,85,95,100,94,100,88
Pennsylvania,63,59.0,72,66,58,44,46,49,51,51,49,49
Rhode Island,38,39.0,44,54,90,53,62,51,61,61,71,48
South Carolina,56,56.0,65,59,77,60,58,70,65,73,54,51
South Dakota,49,,72,47,45,50,15,59,58,58,72,31
Tennessee,59,53.0,65,59,64,58,60,78,72,71,61,56
Texas,68,64.0,75,74,70,55,53,59,61,63,51,61
Utah,60,58.0,90,78,89,69,60,63,59,72,55,49
Vermont,58,29.0,52,45,20,45,41,49,45,49,37,32
Virginia,50,58.0,58,42,36,51,46,52,53,53,46,40
Washington,80,97.0,95,100,99,93,83,84,94,84,81,81
West Virginia,40,63.0,57,56,65,43,41,64,56,50,39,36
Wisconsin,56,53.0,45,47,75,58,56,64,53,59,62,62
