,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,44,54.0,75,51,50,58,54,61,63,67,52,46
Arizona,67,74.0,93,80,75,67,71,66,72,74,57,49
Arkansas,35,45.0,44,66,62,49,52,62,56,60,54,44
California,81,89.0,100,83,90,100,86,89,94,97,84,72
Colorado,54,64.0,75,79,74,69,69,81,82,100,100,100
Connecticut,54,62.0,62,60,72,65,74,88,75,87,77,58
Delaware,100,67.0,95,67,47,83,39,53,80,58,59,45
District of Columbia,75,59.0,80,79,68,69,55,33,51,67,95,59
Florida,61,60.0,73,65,70,68,65,64,62,61,48,41
Georgia,55,64.0,74,89,86,69,59,82,68,73,70,52
Hawaii,79,54.0,66,75,91,58,52,79,70,73,64,53
Idaho,41,52.0,27,35,42,30,43,41,44,33,33,27
Illinois,61,63.0,73,64,63,59,67,65,65,65,65,60
Indiana,52,68.0,69,61,59,54,51,59,56,68,57,48
Iowa,43,28.0,49,39,64,47,42,53,52,61,51,42
Kansas,52,77.0,90,70,58,60,56,79,66,78,64,55
Kentucky,38,43.0,72,63,56,55,58,63,60,64,61,52
Louisiana,43,43.0,57,73,56,61,64,66,55,74,51,56
Maine,34,52.0,59,28,49,20,43,43,33,57,35,27
Maryland,57,60.0,65,63,62,62,59,60,55,66,53,51
Massachusetts,52,49.0,62,57,57,45,41,45,43,55,47,34
Michigan,61,67.0,76,77,73,54,51,50,57,58,53,52
Minnesota,55,52.0,53,71,62,47,52,59,58,78,84,67
Mississippi,49,46.0,57,49,54,53,58,46,47,66,47,41
Missouri,69,75.0,76,84,79,70,76,79,78,90,76,73
Nebraska,88,72.0,73,68,64,75,56,65,61,67,54,56
Nevada,94,100.0,91,89,100,86,99,92,90,94,90,85
New Hampshire,41,59.0,47,22,45,52,28,45,30,34,41,28
New Jersey,65,73.0,79,64,58,55,52,54,54,63,52,60
New Mexico,59,78.0,77,56,67,83,100,100,87,86,69,68
New York,55,54.0,62,55,59,50,47,53,46,57,48,38
North Carolina,46,48.0,56,54,64,52,49,56,56,56,51,44
Ohio,55,57.0,57,66,57,58,53,58,59,57,62,64
Oklahoma,71,46.0,74,61,83,85,72,96,83,86,70,52
Oregon,67,54.0,53,56,65,74,85,96,100,97,98,93
Pennsylvania,59,58.0,74,65,57,47,45,49,48,55,50,50
Rhode Island,32,39.0,43,66,97,54,63,55,60,64,75,44
South Carolina,56,57.0,63,63,78,61,59,70,64,77,54,51
South Dakota,55,,83,53,81,47,8,73,56,68,79,32
Tennessee,52,50.0,66,60,62,61,63,78,70,76,58,56
Texas,64,65.0,75,73,72,55,53,60,60,66,50,50
Utah,43,69.0,85,83,88,77,61,65,57,73,54,45
Vermont,65,29.0,43,43,35,50,41,50,44,33,43,32
Virginia,48,57.0,60,42,37,52,45,52,51,55,43,41
Washington,80,97.0,96,100,97,97,82,81,85,87,80,81
West Virginia,53,63.0,63,59,46,49,42,61,45,45,41,37
Wisconsin,52,55.0,46,45,75,61,56,64,52,60,63,62
