,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,74.0,48.0,62,52,53.0,52,57,58,64,68,53,45
Arizona,78.0,76.0,82,83,68.0,65,70,62,70,74,55,53
Arkansas,31.0,40.0,60,55,59.0,53,52,56,61,60,56,45
California,92.0,95.0,87,85,84.0,100,96,91,100,100,84,67
Colorado,64.0,68.0,65,82,65.0,73,70,80,92,96,99,100
Connecticut,61.0,63.0,61,57,67.0,58,75,81,81,85,77,55
District of Columbia,88.0,57.0,66,75,64.0,65,56,40,60,66,94,60
Florida,68.0,62.0,63,64,63.0,65,66,59,63,61,49,41
Georgia,66.0,68.0,67,85,81.0,66,58,75,71,71,64,52
Hawaii,93.0,72.0,57,83,100.0,53,57,74,78,70,64,57
Idaho,47.0,49.0,19,35,42.0,28,42,40,46,31,35,28
Illinois,73.0,66.0,63,68,59.0,54,62,59,66,69,63,57
Indiana,62.0,73.0,60,58,56.0,52,50,58,56,70,62,48
Iowa,50.0,32.0,42,48,58.0,50,38,50,52,59,53,42
Kansas,65.0,79.0,79,71,57.0,57,55,74,70,78,63,58
Kentucky,51.0,36.0,70,63,58.0,55,59,57,60,65,59,52
Louisiana,46.0,51.0,57,74,57.0,57,63,63,58,71,54,57
Maine,80.0,44.0,100,37,47.0,29,38,37,29,56,39,24
Maryland,59.0,61.0,55,65,59.0,59,58,57,53,65,52,51
Massachusetts,66.0,48.0,55,57,54.0,43,41,40,42,55,46,35
Michigan,72.0,71.0,67,79,69.0,53,51,47,59,57,51,52
Minnesota,61.0,57.0,51,70,57.0,45,54,57,59,76,83,62
Mississippi,70.0,54.0,43,41,46.0,52,59,42,48,63,50,40
Missouri,67.0,79.0,65,83,72.0,69,71,73,83,90,74,74
Nebraska,89.0,67.0,66,64,63.0,72,56,63,67,70,54,55
Nevada,100.0,99.0,73,88,97.0,82,98,85,93,97,89,83
New Hampshire,47.0,61.0,32,23,43.0,48,41,34,30,36,35,29
New Jersey,70.0,79.0,71,61,60.0,53,54,51,52,64,51,56
New Mexico,63.0,97.0,68,60,71.0,79,100,100,92,76,62,70
New York,68.0,59.0,55,54,59.0,48,45,51,49,54,49,37
North Carolina,53.0,48.0,53,59,59.0,49,51,54,62,58,51,44
Ohio,65.0,58.0,53,65,54.0,52,53,54,60,54,61,63
Oklahoma,85.0,54.0,66,59,84.0,79,72,94,86,84,68,53
Oregon,84.0,62.0,45,56,60.0,70,82,89,95,98,100,87
Pennsylvania,66.0,61.0,64,65,55.0,43,45,49,52,54,48,49
Rhode Island,39.0,53.0,20,53,80.0,58,68,53,65,72,72,45
South Carolina,61.0,58.0,57,66,72.0,58,58,68,66,72,52,53
South Dakota,22.0,61.0,74,61,69.0,34,20,53,55,56,62,33
Tennessee,71.0,57.0,56,59,57.0,60,65,74,73,73,58,58
Texas,75.0,72.0,66,71,67.0,56,53,56,64,64,49,52
Utah,60.0,58.0,74,81,81.0,70,61,61,57,68,54,49
Vermont,70.0,,21,31,,44,36,48,52,82,43,34
Virginia,58.0,60.0,53,42,33.0,51,46,49,53,56,43,44
Washington,87.0,100.0,86,100,90.0,94,81,79,87,85,79,87
West Virginia,31.0,46.0,60,28,52.0,41,42,59,52,34,37,45
Wisconsin,47.0,60.0,39,44,69.0,58,57,60,52,57,60,61
Delaware,,43.0,83,78,39.0,75,44,60,75,60,54,50
