,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,78.0,50.0,63,43,65,57,56,63,65,70,48,47
Arizona,77.0,78.0,91,61,78,68,68,65,73,72,53,52
Arkansas,39.0,40.0,36,45,67,50,51,54,58,58,55,45
California,90.0,93.0,100,72,89,100,89,96,95,93,82,73
Colorado,63.0,68.0,77,63,77,70,67,83,87,100,100,100
Connecticut,68.0,56.0,79,52,73,62,71,85,78,83,74,65
Delaware,87.0,54.0,91,100,40,72,47,63,74,58,56,57
District of Columbia,84.0,56.0,77,64,72,67,56,40,55,64,86,64
Florida,67.0,64.0,72,50,71,67,64,61,63,61,48,44
Georgia,67.0,65.0,79,69,90,67,58,80,71,74,63,53
Hawaii,48.0,54.0,75,60,98,54,60,79,87,73,60,59
Idaho,80.0,55.0,27,36,43,28,42,45,45,30,32,28
Illinois,70.0,64.0,72,51,65,58,57,63,65,70,65,63
Indiana,67.0,74.0,69,51,66,53,49,62,59,67,56,46
Iowa,49.0,30.0,47,35,60,51,41,52,57,61,50,44
Kansas,70.0,75.0,85,56,61,58,59,76,74,77,58,58
Kentucky,57.0,43.0,75,44,63,54,60,59,62,65,57,56
Louisiana,50.0,45.0,59,60,59,59,66,67,56,72,52,57
Maine,40.0,47.0,77,30,52,23,39,39,33,51,28,28
Maryland,65.0,64.0,64,50,64,62,59,61,56,66,50,52
Massachusetts,63.0,51.0,63,45,58,46,41,44,42,53,45,37
Michigan,72.0,71.0,78,61,75,54,50,48,58,58,52,55
Minnesota,61.0,54.0,59,55,63,44,54,58,59,75,81,61
Mississippi,67.0,68.0,53,39,58,58,57,43,45,66,47,39
Missouri,75.0,74.0,76,67,81,80,74,74,79,90,68,75
Nebraska,76.0,76.0,71,56,61,66,56,64,62,69,51,55
Nevada,100.0,97.0,94,71,100,85,97,92,92,95,83,84
New Hampshire,75.0,72.0,44,21,50,48,37,42,28,29,38,30
New Jersey,70.0,77.0,80,50,65,55,54,54,53,67,51,61
New Mexico,47.0,92.0,66,51,86,89,100,100,95,80,69,74
New York,66.0,58.0,63,43,63,54,46,52,50,53,48,39
North Carolina,51.0,49.0,60,48,65,52,50,56,61,58,50,44
Ohio,59.0,60.0,57,52,59,58,52,57,55,57,58,67
Oklahoma,78.0,54.0,76,49,85,79,72,94,87,85,63,53
Oregon,78.0,63.0,54,43,64,72,87,93,100,95,94,93
Pennsylvania,65.0,61.0,75,52,58,45,46,50,54,54,46,51
Rhode Island,47.0,53.0,44,59,90,50,66,53,56,60,71,50
South Carolina,57.0,57.0,65,53,77,60,58,70,65,75,52,55
South Dakota,62.0,,67,50,45,48,24,49,51,35,64,29
Tennessee,59.0,55.0,68,46,64,60,63,79,72,70,57,60
Texas,71.0,70.0,78,56,70,57,54,59,61,66,49,53
Utah,59.0,64.0,85,61,89,72,60,67,60,70,52,51
Vermont,85.0,,66,18,20,30,32,47,42,46,35,32
Virginia,55.0,61.0,60,34,36,53,46,50,52,56,43,43
Washington,87.0,100.0,98,79,99,93,82,82,86,87,76,84
Wisconsin,50.0,64.0,44,37,75,61,56,65,54,60,59,62
West Virginia,,59.0,57,42,65,46,40,54,46,39,37,39
