,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,66,63.0,67,45,51,56,52,62,67,69,52,44
Arizona,75,75.0,90,82,74,71,64,63,71,74,54,52
Arkansas,57,43.0,59,46,60,53,49,60,60,59,52,44
California,90,92.0,100,88,85,100,82,99,93,96,84,71
Colorado,59,67.0,77,85,71,71,64,81,88,99,97,100
Connecticut,58,64.0,69,63,71,63,68,83,77,84,74,57
Delaware,73,73.0,86,28,35,75,45,56,74,59,57,55
District of Columbia,75,60.0,77,69,66,69,51,40,55,71,93,59
Florida,65,57.0,70,66,71,66,60,62,65,60,49,41
Georgia,62,66.0,76,92,85,66,55,78,73,73,67,51
Hawaii,81,54.0,63,76,97,52,53,79,75,78,62,55
Idaho,52,48.0,18,39,37,26,48,45,50,28,38,30
Illinois,69,66.0,73,63,61,58,59,62,68,71,64,62
Indiana,58,74.0,70,59,62,54,48,59,58,72,57,47
Iowa,44,31.0,51,45,62,52,42,54,56,60,52,42
Kansas,66,77.0,89,78,55,63,56,72,72,79,63,57
Kentucky,48,46.0,77,60,57,55,54,62,60,66,60,54
Louisiana,48,42.0,63,74,58,62,62,66,57,74,52,55
Maine,43,55.0,73,26,51,20,33,45,22,53,33,26
Maryland,70,65.0,63,61,60,64,55,60,56,67,52,51
Massachusetts,58,48.0,64,59,56,45,39,43,43,57,45,35
Michigan,67,74.0,75,76,71,54,48,49,54,60,52,51
Minnesota,60,53.0,55,72,60,46,52,58,58,78,83,62
Mississippi,62,63.0,64,43,28,47,56,47,48,67,46,38
Missouri,76,78.0,73,84,74,72,70,77,83,93,72,72
Nebraska,82,69.0,72,72,59,71,52,64,63,66,50,53
Nevada,100,96.0,95,95,100,86,95,92,98,96,85,81
New Hampshire,62,57.0,46,15,45,48,36,42,24,35,41,31
New Jersey,73,76.0,82,69,61,57,51,52,54,66,52,59
New Mexico,74,84.0,69,62,77,85,100,100,89,85,69,72
New York,66,57.0,61,55,59,51,42,53,50,52,47,38
North Carolina,52,50.0,59,63,63,53,47,54,60,60,50,47
Ohio,60,59.0,57,66,55,58,48,57,61,59,61,64
Oklahoma,76,48.0,78,60,81,82,67,94,86,88,66,51
Oregon,75,62.0,54,58,63,73,78,95,100,100,100,89
Pennsylvania,61,61.0,71,68,56,47,42,49,50,57,48,49
Rhode Island,41,59.0,46,56,84,61,61,48,56,65,65,46
South Carolina,56,47.0,70,65,77,60,54,69,67,76,52,52
South Dakota,35,33.0,82,67,70,47,22,55,59,65,63,32
Tennessee,57,53.0,65,61,60,64,60,75,74,76,56,58
Texas,73,71.0,75,73,70,55,50,57,64,66,50,49
Utah,56,60.0,90,73,82,68,54,64,60,71,54,49
Vermont,61,,59,43,19,35,35,44,48,46,36,31
Virginia,56,60.0,58,46,34,51,43,53,52,56,43,42
Washington,83,100.0,98,100,96,95,82,84,88,87,81,83
West Virginia,30,30.0,54,33,46,42,37,50,56,45,38,37
Wisconsin,47,59.0,47,46,70,61,51,61,55,61,62,60
