,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,47,56.0,76,51,53,58,52,62,65,67,52,47
Arizona,71,77.0,91,80,75,69,67,65,72,74,57,49
Arkansas,37,47.0,56,68,52,49,50,62,57,61,56,45
California,87,91.0,100,84,90,100,82,92,94,97,84,74
Colorado,58,66.0,76,82,74,70,64,82,82,100,100,100
Connecticut,58,64.0,62,61,72,64,70,87,75,87,74,57
Delaware,100,58.0,95,76,47,84,46,62,80,58,62,53
District of Columbia,80,60.0,75,80,68,69,53,41,53,68,95,59
Florida,65,62.0,73,65,68,68,62,64,62,62,48,41
Georgia,57,66.0,74,90,82,70,56,83,68,72,70,51
Hawaii,84,62.0,66,79,91,54,52,90,80,73,64,53
Idaho,44,54.0,27,30,42,30,42,41,44,33,33,27
Illinois,62,65.0,74,64,62,59,63,65,65,65,65,60
Indiana,63,70.0,69,61,59,54,48,60,56,68,57,48
Iowa,46,29.0,50,47,64,47,40,55,52,61,51,42
Kansas,55,78.0,85,73,58,60,53,78,71,81,61,56
Kentucky,40,45.0,72,64,61,55,55,64,60,64,61,54
Louisiana,45,45.0,57,73,56,61,61,65,55,74,51,57
Maine,36,45.0,59,35,49,20,41,43,31,56,35,28
Maryland,58,62.0,59,67,63,64,56,61,55,66,53,50
Massachusetts,56,50.0,62,57,57,47,40,45,43,55,47,34
Michigan,66,69.0,76,77,74,56,50,52,57,60,53,51
Minnesota,57,54.0,53,72,63,46,53,59,57,78,84,67
Mississippi,67,48.0,64,45,54,53,55,48,47,66,50,41
Missouri,75,78.0,76,85,79,71,71,79,78,90,71,74
Nebraska,70,73.0,74,69,71,75,53,65,63,67,54,57
Nevada,100,85.0,92,90,100,85,91,93,91,94,90,85
New Hampshire,43,60.0,47,16,47,52,26,39,29,34,41,29
New Jersey,69,76.0,79,64,63,53,50,54,50,63,52,59
New Mexico,62,80.0,77,56,66,82,100,100,88,86,69,73
New York,62,56.0,61,56,60,50,45,52,49,54,48,39
North Carolina,50,50.0,60,54,64,53,48,55,56,57,50,45
Ohio,58,59.0,57,66,56,58,50,59,59,57,62,64
Oklahoma,76,50.0,82,61,83,85,70,97,83,86,68,52
Oregon,69,59.0,56,57,65,74,81,95,100,97,98,94
Pennsylvania,62,60.0,74,65,58,46,42,50,48,55,49,50
Rhode Island,35,56.0,41,67,97,55,62,56,62,64,80,44
South Carolina,60,60.0,63,64,78,61,56,71,64,77,54,52
South Dakota,58,,83,53,81,47,7,73,56,65,79,32
Tennessee,59,52.0,66,62,61,60,60,78,70,77,60,60
Texas,68,68.0,73,73,69,58,51,58,60,66,50,51
Utah,45,72.0,85,83,86,78,58,66,58,70,54,46
Vermont,69,,44,50,35,50,34,51,44,34,56,32
Virginia,51,60.0,59,42,37,53,43,52,51,55,43,42
Washington,85,100.0,96,100,97,96,78,82,85,86,81,82
West Virginia,56,49.0,63,59,45,42,40,62,45,45,41,34
Wisconsin,38,57.0,45,46,75,61,53,60,52,60,63,62
