,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,69,54,68,51,56,55,55,64,72,65,54,48
Arizona,80,77,90,79,83,66,67,65,72,76,57,53
Arkansas,41,47,51,51,67,49,51,61,61,65,56,46
California,94,90,97,84,90,100,90,99,96,100,82,72
Colorado,66,64,76,76,75,66,67,83,91,99,100,100
Connecticut,49,61,70,58,74,63,73,87,80,86,76,60
Delaware,64,41,100,100,57,73,42,53,84,60,60,57
District of Columbia,83,57,82,67,69,65,55,37,61,68,91,67
Florida,70,56,71,62,69,62,62,62,66,62,50,43
Georgia,65,65,76,85,87,65,56,81,72,73,67,54
Hawaii,95,62,60,81,94,56,58,79,83,76,64,57
Idaho,49,55,35,42,44,27,45,45,48,29,37,29
Illinois,68,63,71,63,64,56,63,62,69,73,65,65
Indiana,63,72,67,62,64,50,50,61,58,73,58,46
Iowa,53,22,53,39,67,46,41,55,60,64,54,45
Kansas,65,71,84,71,60,68,56,79,75,79,65,58
Kentucky,50,44,77,62,51,53,56,62,61,68,59,53
Louisiana,39,45,58,76,57,62,60,65,59,75,54,59
Maine,37,56,72,52,45,22,45,45,32,54,34,28
Maryland,61,61,65,63,62,59,56,60,59,68,54,54
Massachusetts,64,49,60,54,58,44,41,46,44,57,47,36
Michigan,73,68,74,74,78,54,49,50,60,59,52,54
Minnesota,64,59,56,68,62,46,52,60,62,79,82,64
Mississippi,66,49,62,44,54,51,56,48,49,68,55,42
Missouri,82,77,72,83,82,72,74,77,82,93,71,76
Nebraska,80,70,62,62,57,70,55,66,67,73,55,58
Nevada,100,98,90,87,93,79,98,89,97,97,89,87
New Hampshire,61,57,42,25,52,49,34,39,30,31,42,37
New Jersey,71,77,81,64,64,53,51,54,53,66,52,60
New Mexico,73,89,69,47,80,90,100,100,97,84,69,73
New York,67,55,62,51,61,49,44,54,51,56,48,41
North Carolina,55,47,59,59,66,51,50,57,60,61,52,47
Ohio,63,55,59,61,59,55,52,57,61,63,62,66
Oklahoma,91,46,75,57,80,79,71,93,93,89,68,53
Oregon,81,60,50,55,67,71,87,91,100,100,100,94
Pennsylvania,66,61,73,64,58,43,44,49,53,56,48,51
Rhode Island,71,57,48,66,91,54,65,55,55,62,79,47
South Carolina,67,55,59,64,77,58,56,70,68,77,52,53
South Dakota,41,41,42,59,76,44,33,61,65,60,67,32
Tennessee,64,56,65,57,64,56,63,79,74,76,60,62
Texas,75,69,76,70,70,55,53,59,65,71,51,53
Utah,54,59,85,77,90,69,59,61,63,75,54,50
Vermont,63,23,54,39,30,53,29,25,56,52,26,34
Virginia,57,59,55,42,37,49,46,52,52,58,44,44
Washington,90,100,99,96,100,89,81,85,89,89,81,86
West Virginia,55,44,59,54,49,40,42,66,54,46,38,39
Wisconsin,51,59,48,44,71,57,55,65,54,63,60,65
