,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Alabama,66,52,64,55,51,55,51,62,67,68,55,47
Arizona,74,78,90,83,73,69,66,58,71,73,55,51
Arkansas,57,28,66,59,59,47,47,60,60,58,55,42
California,90,91,100,86,83,100,82,99,90,100,82,79
Colorado,60,67,76,82,70,72,62,81,89,98,95,100
Connecticut,65,62,66,62,68,65,67,83,79,87,75,58
Delaware,73,62,90,79,42,75,39,59,74,58,53,51
District of Columbia,75,61,77,76,65,73,50,40,55,70,80,62
Florida,65,60,67,63,69,70,59,62,65,59,48,41
Georgia,62,66,74,90,81,69,54,78,73,72,65,49
Hawaii,94,51,70,82,95,62,51,79,76,77,62,57
Idaho,55,55,20,36,36,24,47,56,47,28,36,27
Illinois,69,64,76,65,60,60,59,62,68,70,62,60
Indiana,59,67,65,59,61,56,46,59,58,71,60,46
Iowa,44,31,48,50,54,50,41,54,56,63,52,41
Kansas,66,72,88,79,53,61,55,72,72,75,62,54
Kentucky,48,48,76,58,56,59,53,62,60,66,61,52
Louisiana,48,43,58,70,57,61,60,66,57,73,50,56
Maine,43,49,72,27,50,31,33,32,22,53,41,26
Maryland,70,62,62,65,60,64,54,60,56,66,52,51
Massachusetts,58,49,62,57,55,47,38,42,44,55,45,35
Michigan,67,71,76,76,69,57,47,49,56,59,53,50
Minnesota,59,55,51,75,59,48,50,57,58,77,83,63
Mississippi,62,46,63,49,42,54,55,47,53,66,50,40
Missouri,76,78,75,82,72,77,68,75,80,92,69,74
Nebraska,82,73,73,69,57,82,51,64,63,70,54,56
Nevada,100,91,90,99,100,85,89,92,93,96,85,83
New Hampshire,68,55,46,23,44,53,34,42,24,33,39,30
New Jersey,73,76,83,66,60,53,50,52,54,64,51,59
New Mexico,57,90,80,64,90,90,100,100,89,84,62,73
New York,66,56,63,55,58,51,41,52,50,51,48,39
North Carolina,53,49,58,62,62,53,47,54,63,59,51,44
Ohio,60,57,58,66,54,56,47,57,60,58,61,64
Oklahoma,76,43,72,61,78,85,71,98,87,86,69,51
Oregon,74,59,49,56,62,73,80,95,100,99,100,93
Pennsylvania,61,60,72,68,55,45,42,49,50,56,47,49
Rhode Island,41,67,59,66,82,50,60,52,56,64,72,47
South Carolina,67,55,69,68,77,59,53,71,68,76,54,52
South Dakota,35,20,40,79,62,48,21,56,59,64,71,31
Tennessee,57,54,66,59,59,65,59,75,74,75,58,57
Texas,72,70,74,72,69,58,50,57,64,69,50,51
Utah,59,59,81,75,82,71,55,64,60,70,51,48
Vermont,61,44,42,37,19,31,34,50,33,46,41,32
Virginia,57,60,56,44,33,54,43,53,53,56,44,41
Washington,83,100,95,100,91,98,80,83,90,86,78,82
West Virginia,44,45,58,51,45,39,36,56,57,45,40,39
Wisconsin,47,58,46,45,69,62,52,61,55,62,61,60
